campaign,run_key,role,relative_path,source_path,size_bytes,sha256,verified
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/logs/rf.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\logs\rf.log,124,4b0d7c8080c9d6d2331a477969dfc0e31101748e480cfcef60ef07d1bc01e8ba,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/logs/train.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\logs\train.log,22900,fcc368fddb692c5a7c9afd02425cad592a5e3c784b01b2d7fa3d6ba63e6afad7,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/quality_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\quality_metrics.json,2717,2e02fe2abc6dba49c14d9ad2b843cd09969166f4fee082440a6716915937df4d,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/rf_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\rf_metrics.json,1395,93dd8949a54681a218f09b998f9a3b17ea88253d3aebd00b0cb4c34a022a1b0f,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/run_manifest.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\run_manifest.json,2710,bb7865c59955e2e809037007cd524bbca0de57a8f35d647918e5f042f9e78ed7,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/training_history.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\training_history.csv,12826,e13a29bf294b0880a6af9a2f5a6af184fd701a388c08bde32612a87a65c7af57,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R100/BASE/training_metadata.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R100\BASE\training_metadata.json,658,b6a4581fff1863ac669f2f8fb03d13d85678f5b58d3b7e81a799db0316774c3f,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/critic.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\critic.pt,1568457,e1612d5f7f15201931db783414c1eff4117048f45d1442a74bd3087a97122a60,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/generated_feature_vectors.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\generated_feature_vectors.csv,451546,a18fcdef146d559b0eca1ae3b3ab81a6686be6283467eb1ec3cbcd271f44f62f,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/generated_payloads.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\generated_payloads.csv,390734,c2b68d62140223091de46d89d5b3f031210672e608b5ac5135193e4e7f2e09b2,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/generated_payloads.txt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\generated_payloads.txt,226726,e89d4b27f067c581f92621525f5df435ab0e315ef920b8b638411f127cc6bf8a,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/generator.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\generator.pt,913867,c9377bf92efb7f6e926bd7f0b509c26f2edd6192f72cf2e30a93cbfa806f3de4,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/logs/quality.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\logs\quality.log,2670,a32bf556ca234b5eef5cace1c69b3813418abd0ca7e41751ef1c2ca62d02f369,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/logs/rf.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\logs\rf.log,124,b78c8b861fb5646048226e995729abb15a53daccff84d92a55e175df154d9616,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/logs/train.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\logs\train.log,22168,98d5cfd8d4d6b628174b03d8571d837c6ca0408375726735252dd27c3cc4b6c0,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/quality_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\quality_metrics.json,2669,aec1c02f38675fc3b093849178fdc92335f2f81ba1134d2b5b52e8945289a28f,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/rf_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\rf_metrics.json,1397,c5afde8e5cb879196e8070282d9e15836afca4e886dd527e5da393659cd4a2fc,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/run_manifest.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\run_manifest.json,2710,0e9f73dcb612dce61c874b988395f761df957de9ae42a6eb6e4c5f61e2b6c7c5,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/training_history.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\training_history.csv,12801,c01dd0468ce3f3524954fac66cf7b0561c8e5c34663e8188df87fce6b88b53f7,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R200/BASE/training_metadata.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R200\BASE\training_metadata.json,655,62ae8e7514f7e8ee757ac8035f9aa9d4a12db5cc322a88286e6b97fa78dddeef,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/critic.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\critic.pt,1496777,3e46648fe5bd5bcfa336fc64063aaeab362fb7ec0bfc83c6f367b38939a928bd,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/generated_feature_vectors.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\generated_feature_vectors.csv,451260,44c8483604e3ffe652db4bc92c738875f5cd8d0174279f7a6c0b21b2bfd94e21,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/generated_payloads.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\generated_payloads.csv,401075,479c6ee93b349df38cf2dc93ddd86e0fd7d436f2991bd7eaacbb52360b4db827,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/generated_payloads.txt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\generated_payloads.txt,238274,b0e3f6302a6b5da9f807427dc49b19116ea68f70dbac2389277ac8d3492fb06e,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/generator.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\generator.pt,895947,17530096c3ca41e00ef704b45d5c5e4ebbcaf86ccc35d47ec77f1d26f8784b02,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/logs/quality.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\logs\quality.log,2666,4a7f02fc7d7f4d16b4f950b2428255e2032ff9c052c22b263e2d0b60473fe250,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/logs/rf.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\logs\rf.log,124,aefab51be8f39ef817a8aca9c0f116b575175bfde3bd4b0efbef8bd2d46bd884,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/logs/train.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\logs\train.log,21924,a91fb042622620e3abe2632acfd31a6cff1d51a0ee2f430d8ab8f9b71f800868,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/quality_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\quality_metrics.json,2665,2c6ea93e8afb1901d074f6bf8ac35a48ceaf8502fdfc33c90dfad653ff00468b,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/rf_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\rf_metrics.json,1384,762a5d989feecd23cc08ba22af75d679652ddb6752d5d122597046f063f0b169,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/run_manifest.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\run_manifest.json,2710,56038bbd017d43f20acb54a1ac7fc7cf323b20756c5dd3a9d7be1b449c9f83ab,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/training_history.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\training_history.csv,12749,f5747a62325851e643c3196650b29703e6e608ea065df97f932d9e2c41a7f01a,True
final_full/baselines,final_full/baselines|ctgan|boolean|D|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/D/R500/BASE/training_metadata.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\D\R500\BASE\training_metadata.json,655,1f0ff40d1e96eb250c16e54d088bf5f7bfb342edbc2788a8c486dbc5f44c0e66,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/critic.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\critic.pt,1752777,d8097ddbfb6c7181c8137a25df985eb83c7eca9a1a9ccbc7ef065a58ba5243dc,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/generated_feature_vectors.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\generated_feature_vectors.csv,452317,06756f4ec6eb24953a9631b9ba228af15fe932cbc7c3ec607b314b9a8395bcc8,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/generated_payloads.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\generated_payloads.csv,413381,9894eae27643d9f54d4fce691d7af638784d67a6b814d484e90e19a09cd6784c,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/generated_payloads.txt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\generated_payloads.txt,250871,b1c08a34505323999696209dbd5bd04ba467baa7b238c3f4c6791479fdba2904,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/generator.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\generator.pt,959947,74e4896250d535f7caedc6ab28b02cae151fb07b73e063bfe6a9c29c2b141b84,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/logs/quality.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\logs\quality.log,2677,06c1b7bc9c457aacb847db37ad2f6bbed6c92a84c5ee8bd72043789c5697fd1a,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/logs/rf.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\logs\rf.log,124,f72c23d38881af9c5dc77e5e4aee767560fcec6e434d4671e53648134e9ef8f2,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/logs/train.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\logs\train.log,23876,fbcf90f2113f5a38bc96fdc5c90289c92925d55926906492ea97f039136412dc,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/quality_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\quality_metrics.json,2676,709b99d71908c9030a9c2adb4fc0531d117f324aa5217010461b67fd8d66f4f4,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/rf_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\rf_metrics.json,1400,9db9f5f197322c217206e0bdada99acd3d1b839a9c332faa39006c4c02822796,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/run_manifest.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\run_manifest.json,2710,e872ee51f2df9aa014efd62621ad13795f41d735e223d99b1b78ddd5782cdfa9,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/training_history.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\training_history.csv,12785,bf8cb78ea468aec31280cafb65f0b48c2a024bd7690090f7dbf7775488a30cb5,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R100|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R100/BASE/training_metadata.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R100\BASE\training_metadata.json,658,4c3d4c229017107187bb08621e7cb7f4426fecdbf115947aee2d83b33f5db8f1,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/critic.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\critic.pt,1599177,87cfd09706de84631af52cb07e11b01ce0a5bd5b3092ea9ee398939a317bd0f7,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/generated_feature_vectors.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\generated_feature_vectors.csv,453885,d50dcf16023f12ce8347b5e38e122ac35ad23b85411660082b16a761647fdc0a,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/generated_payloads.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\generated_payloads.csv,495221,a6a4b04b5f6376148d6d13dbfa4c53bec70b7377da5e3908f731c6f4aa7c345b,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/generated_payloads.txt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\generated_payloads.txt,332268,4de66a1b4828909b0964959da623afff1733b768a621a19103a39d7af77e15fb,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/generator.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\generator.pt,921547,4164f3f3eade383cd6f185a353606ac7de50ec2bab15243129046316a10cd82c,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/logs/quality.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\logs\quality.log,2689,be86b8b7e6f0200347b5ab0d68057f34bef7f1596159813fb7ee4dd2d9fe126f,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/logs/rf.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\logs\rf.log,124,0abf6b57d12f436c4a9c1e7f56414460988fffb7d28831b13ecf7477fd3439b3,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/logs/train.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\logs\train.log,22412,77e7b758ad051cc47ef8be283b25d022854b16b5baf971e1898a0cbd6d22411d,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/quality_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\quality_metrics.json,2688,dcefcdb6b55ed8c590549ce0473694a14bebbe82ce3067d76c61728843afbaf8,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/rf_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\rf_metrics.json,1389,8dfc8139483d02eb907541b9ba0006163fc5e4e4be409285b1a203ebd3115718,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/run_manifest.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\run_manifest.json,2710,d2463f2ebf446ea9a59abfea24016a84e8a0377787f304f29c910db3e598602b,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/training_history.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\training_history.csv,12775,79b427c2a3369c2f047aa62495f37704e7efefd661d785e779dd998a12507c8f,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R200|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R200/BASE/training_metadata.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R200\BASE\training_metadata.json,655,1995b9ff22954b61399d96f2521d15069ba1aa5b166c7efc48043279c9915b51,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/critic.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\critic.pt,1486537,377ced711ad8a59d03453414d0a26e5d4d3c8f14360b0ce8704db66cf5f3fb44,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/generated_feature_vectors.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\generated_feature_vectors.csv,453855,b262c4eedbbafc9eec2ee99488892b458c3618be753c23c8fe3d01065c89d40e,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/generated_payloads.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\generated_payloads.csv,478872,723f1a2413fecfe58af208549ac991f0277164d8f08bcfadff587993c1793747,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/generated_payloads.txt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\generated_payloads.txt,316621,cf8a024e9290fbd2b49c828e2f1fe1d6183bf89765351b8f9931faf039ea10dd,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/generator.pt,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\generator.pt,893387,1c75e146e1b25587a3c63183a895fe29a4844affab76cf1bcb3ba15c940016b6,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/logs/quality.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\logs\quality.log,2663,358b3a25f2871774377cb74ac2903d18928cfd384cce3815e4a27143bbc119ad,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/logs/rf.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\logs\rf.log,124,e89bdad197c1134bdf1170a9fbb0418334e7adccd2af850fec7bcda70a5bb6d0,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/logs/train.log,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\logs\train.log,21192,7bf345b445a7ca34e69712e8271371a7a3213a5d2014afc3989256ca35df9934,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/quality_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\quality_metrics.json,2662,aa306cb102efba7de1f429ec52f0c4f8a4eda15a46c3445c1f99ac437576dd92,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/rf_metrics.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\rf_metrics.json,1385,fc5361cce1b450ebde7a7999c5df66e6966955d5a96f62ae3ca20749293183fc,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/run_manifest.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\run_manifest.json,2710,d910ad0b1695d229a30ce46b075bad6ffc54f21092bd85931e893c6d53d4cf54,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/training_history.csv,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\training_history.csv,12766,1d000193e2829f4cb577b01b7a70768f96c55771b555e032b4ec143b634fe1bf,True
final_full/baselines,final_full/baselines|ctgan|boolean|E|R500|BASE,run_artifact,final_full/baselines/ctgan/boolean/E/R500/BASE/training_metadata.json,H:\My Drive\GAN\final_results_complete\final\ctgan\boolean\E\R500\BASE\training_metadata.json,655,a13b4a10c6d6a7f92f1ae4bc5a3846867e8a6a6852980903f69406b6fdcd52eb,True
