scientific_id_without_campaign,campaign_count,campaigns,run_keys
gan|error|B|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|gan|error|B|R50|BASE;phase2b_ratio_search_medium|gan|error|B|R50|BASE
gan|error|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|error|D|R100|BASE;phase2b_ratio_search_medium|gan|error|D|R100|BASE
gan|error|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|error|D|R200|BASE;phase2b_ratio_search_medium|gan|error|D|R200|BASE
gan|error|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|error|D|R500|BASE;phase2b_ratio_search_medium|gan|error|D|R500|BASE
gan|error|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|gan|error|D|R50|BASE;phase2b_ratio_search_medium|gan|error|D|R50|BASE
gan|time|A|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|time|A|R100|BASE;phase2b_ratio_search_medium|gan|time|A|R100|BASE
gan|time|A|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|time|A|R200|BASE;phase2b_ratio_search_medium|gan|time|A|R200|BASE
gan|time|A|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|time|A|R500|BASE;phase2b_ratio_search_medium|gan|time|A|R500|BASE
gan|time|A|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|gan|time|A|R50|BASE;phase2b_ratio_search_medium|gan|time|A|R50|BASE
gan|time|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|time|D|R100|BASE;phase2b_ratio_search_medium|gan|time|D|R100|BASE
gan|time|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|time|D|R200|BASE;phase2b_ratio_search_medium|gan|time|D|R200|BASE
gan|time|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|time|D|R500|BASE;phase2b_ratio_search_medium|gan|time|D|R500|BASE
gan|time|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|gan|time|D|R50|BASE;phase2b_ratio_search_medium|gan|time|D|R50|BASE
gan|union|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|union|D|R100|BASE;phase2b_ratio_search_medium|gan|union|D|R100|BASE
gan|union|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|union|D|R200|BASE;phase2b_ratio_search_medium|gan|union|D|R200|BASE
gan|union|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|union|D|R500|BASE;phase2b_ratio_search_medium|gan|union|D|R500|BASE
gan|union|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|gan|union|D|R50|BASE;phase2b_ratio_search_medium|gan|union|D|R50|BASE
gan|union|F|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|union|F|R100|BASE;phase2b_ratio_search_medium|gan|union|F|R100|BASE
gan|union|F|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|union|F|R200|BASE;phase2b_ratio_search_medium|gan|union|F|R200|BASE
gan|union|F|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|gan|union|F|R500|BASE;phase2b_ratio_search_medium|gan|union|F|R500|BASE
gan|union|F|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|gan|union|F|R50|BASE;phase2b_ratio_search_medium|gan|union|F|R50|BASE
seqgan_improved|boolean|D|R200|V7,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|boolean|D|R200|V7;phase3_seqgan_improved_test_medium|seqgan_improved|boolean|D|R200|V7
seqgan_improved|boolean|D|R200|V8,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|boolean|D|R200|V8;phase3_seqgan_improved_test_medium|seqgan_improved|boolean|D|R200|V8
seqgan_improved|boolean|E|R200|V2,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|boolean|E|R200|V2;phase3_seqgan_improved_test_medium|seqgan_improved|boolean|E|R200|V2
seqgan_improved|error|B|R200|V8,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|error|B|R200|V8;phase3_seqgan_improved_test_medium|seqgan_improved|error|B|R200|V8
seqgan_improved|error|D|R200|V4,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|error|D|R200|V4;phase3_seqgan_improved_test_medium|seqgan_improved|error|D|R200|V4
seqgan_improved|error|D|R200|V8,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|error|D|R200|V8;phase3_seqgan_improved_test_medium|seqgan_improved|error|D|R200|V8
seqgan_improved|time|A|R200|V8,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|time|A|R200|V8;phase3_seqgan_improved_test_medium|seqgan_improved|time|A|R200|V8
seqgan_improved|time|D|R200|V8,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|time|D|R200|V8;phase3_seqgan_improved_test_medium|seqgan_improved|time|D|R200|V8
seqgan_improved|union|D|R200|V2,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|union|D|R200|V2;phase3_seqgan_improved_test_medium|seqgan_improved|union|D|R200|V2
seqgan_improved|union|D|R200|V8,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|union|D|R200|V8;phase3_seqgan_improved_test_medium|seqgan_improved|union|D|R200|V8
seqgan_improved|union|F|R200|V3,2,final_full/seqgan_improved_refinement;phase3_seqgan_improved_test_medium,final_full/seqgan_improved_refinement|seqgan_improved|union|F|R200|V3;phase3_seqgan_improved_test_medium|seqgan_improved|union|F|R200|V3
seqgan_master|boolean|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|boolean|D|R100|BASE;phase2b_ratio_search_medium|seqgan_master|boolean|D|R100|BASE
seqgan_master|boolean|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|boolean|D|R200|BASE;phase2b_ratio_search_medium|seqgan_master|boolean|D|R200|BASE
seqgan_master|boolean|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|boolean|D|R500|BASE;phase2b_ratio_search_medium|seqgan_master|boolean|D|R500|BASE
seqgan_master|boolean|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|seqgan_master|boolean|D|R50|BASE;phase2b_ratio_search_medium|seqgan_master|boolean|D|R50|BASE
seqgan_master|boolean|E|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|boolean|E|R100|BASE;phase2b_ratio_search_medium|seqgan_master|boolean|E|R100|BASE
seqgan_master|boolean|E|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|boolean|E|R200|BASE;phase2b_ratio_search_medium|seqgan_master|boolean|E|R200|BASE
seqgan_master|boolean|E|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|boolean|E|R500|BASE;phase2b_ratio_search_medium|seqgan_master|boolean|E|R500|BASE
seqgan_master|boolean|E|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|seqgan_master|boolean|E|R50|BASE;phase2b_ratio_search_medium|seqgan_master|boolean|E|R50|BASE
seqgan_master|error|B|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|error|B|R100|BASE;phase2b_ratio_search_medium|seqgan_master|error|B|R100|BASE
seqgan_master|error|B|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|error|B|R200|BASE;phase2b_ratio_search_medium|seqgan_master|error|B|R200|BASE
seqgan_master|error|B|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|error|B|R500|BASE;phase2b_ratio_search_medium|seqgan_master|error|B|R500|BASE
seqgan_master|error|B|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|seqgan_master|error|B|R50|BASE;phase2b_ratio_search_medium|seqgan_master|error|B|R50|BASE
seqgan_master|error|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|error|D|R100|BASE;phase2b_ratio_search_medium|seqgan_master|error|D|R100|BASE
seqgan_master|error|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|error|D|R200|BASE;phase2b_ratio_search_medium|seqgan_master|error|D|R200|BASE
seqgan_master|error|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|error|D|R500|BASE;phase2b_ratio_search_medium|seqgan_master|error|D|R500|BASE
seqgan_master|error|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|seqgan_master|error|D|R50|BASE;phase2b_ratio_search_medium|seqgan_master|error|D|R50|BASE
seqgan_master|time|A|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|time|A|R100|BASE;phase2b_ratio_search_medium|seqgan_master|time|A|R100|BASE
seqgan_master|time|A|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|time|A|R200|BASE;phase2b_ratio_search_medium|seqgan_master|time|A|R200|BASE
seqgan_master|time|A|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|time|A|R500|BASE;phase2b_ratio_search_medium|seqgan_master|time|A|R500|BASE
seqgan_master|time|A|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|seqgan_master|time|A|R50|BASE;phase2b_ratio_search_medium|seqgan_master|time|A|R50|BASE
seqgan_master|time|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|time|D|R100|BASE;phase2b_ratio_search_medium|seqgan_master|time|D|R100|BASE
seqgan_master|time|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|time|D|R200|BASE;phase2b_ratio_search_medium|seqgan_master|time|D|R200|BASE
seqgan_master|time|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|time|D|R500|BASE;phase2b_ratio_search_medium|seqgan_master|time|D|R500|BASE
seqgan_master|time|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|seqgan_master|time|D|R50|BASE;phase2b_ratio_search_medium|seqgan_master|time|D|R50|BASE
seqgan_master|union|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|union|D|R100|BASE;phase2b_ratio_search_medium|seqgan_master|union|D|R100|BASE
seqgan_master|union|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|union|D|R200|BASE;phase2b_ratio_search_medium|seqgan_master|union|D|R200|BASE
seqgan_master|union|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|union|D|R500|BASE;phase2b_ratio_search_medium|seqgan_master|union|D|R500|BASE
seqgan_master|union|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|seqgan_master|union|D|R50|BASE;phase2b_ratio_search_medium|seqgan_master|union|D|R50|BASE
seqgan_master|union|F|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|union|F|R100|BASE;phase2b_ratio_search_medium|seqgan_master|union|F|R100|BASE
seqgan_master|union|F|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|union|F|R200|BASE;phase2b_ratio_search_medium|seqgan_master|union|F|R200|BASE
seqgan_master|union|F|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|seqgan_master|union|F|R500|BASE;phase2b_ratio_search_medium|seqgan_master|union|F|R500|BASE
seqgan_master|union|F|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|seqgan_master|union|F|R50|BASE;phase2b_ratio_search_medium|seqgan_master|union|F|R50|BASE
smote|boolean|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|boolean|D|R100|BASE;phase2b_ratio_search_medium|smote|boolean|D|R100|BASE
smote|boolean|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|boolean|D|R200|BASE;phase2b_ratio_search_medium|smote|boolean|D|R200|BASE
smote|boolean|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|boolean|D|R500|BASE;phase2b_ratio_search_medium|smote|boolean|D|R500|BASE
smote|boolean|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|smote|boolean|D|R50|BASE;phase2b_ratio_search_medium|smote|boolean|D|R50|BASE
smote|boolean|E|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|boolean|E|R100|BASE;phase2b_ratio_search_medium|smote|boolean|E|R100|BASE
smote|boolean|E|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|boolean|E|R200|BASE;phase2b_ratio_search_medium|smote|boolean|E|R200|BASE
smote|boolean|E|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|boolean|E|R500|BASE;phase2b_ratio_search_medium|smote|boolean|E|R500|BASE
smote|boolean|E|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|smote|boolean|E|R50|BASE;phase2b_ratio_search_medium|smote|boolean|E|R50|BASE
smote|error|B|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|error|B|R100|BASE;phase2b_ratio_search_medium|smote|error|B|R100|BASE
smote|error|B|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|error|B|R200|BASE;phase2b_ratio_search_medium|smote|error|B|R200|BASE
smote|error|B|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|error|B|R500|BASE;phase2b_ratio_search_medium|smote|error|B|R500|BASE
smote|error|B|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|smote|error|B|R50|BASE;phase2b_ratio_search_medium|smote|error|B|R50|BASE
smote|error|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|error|D|R100|BASE;phase2b_ratio_search_medium|smote|error|D|R100|BASE
smote|error|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|error|D|R200|BASE;phase2b_ratio_search_medium|smote|error|D|R200|BASE
smote|error|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|error|D|R500|BASE;phase2b_ratio_search_medium|smote|error|D|R500|BASE
smote|error|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|smote|error|D|R50|BASE;phase2b_ratio_search_medium|smote|error|D|R50|BASE
smote|time|A|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|time|A|R100|BASE;phase2b_ratio_search_medium|smote|time|A|R100|BASE
smote|time|A|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|time|A|R200|BASE;phase2b_ratio_search_medium|smote|time|A|R200|BASE
smote|time|A|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|time|A|R500|BASE;phase2b_ratio_search_medium|smote|time|A|R500|BASE
smote|time|A|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|smote|time|A|R50|BASE;phase2b_ratio_search_medium|smote|time|A|R50|BASE
smote|time|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|time|D|R100|BASE;phase2b_ratio_search_medium|smote|time|D|R100|BASE
smote|time|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|time|D|R200|BASE;phase2b_ratio_search_medium|smote|time|D|R200|BASE
smote|time|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|time|D|R500|BASE;phase2b_ratio_search_medium|smote|time|D|R500|BASE
smote|time|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|smote|time|D|R50|BASE;phase2b_ratio_search_medium|smote|time|D|R50|BASE
smote|union|D|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|union|D|R100|BASE;phase2b_ratio_search_medium|smote|union|D|R100|BASE
smote|union|D|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|union|D|R200|BASE;phase2b_ratio_search_medium|smote|union|D|R200|BASE
smote|union|D|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|union|D|R500|BASE;phase2b_ratio_search_medium|smote|union|D|R500|BASE
smote|union|D|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|smote|union|D|R50|BASE;phase2b_ratio_search_medium|smote|union|D|R50|BASE
smote|union|F|R100|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|union|F|R100|BASE;phase2b_ratio_search_medium|smote|union|F|R100|BASE
smote|union|F|R200|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|union|F|R200|BASE;phase2b_ratio_search_medium|smote|union|F|R200|BASE
smote|union|F|R500|BASE,2,final_full/baselines;phase2b_ratio_search_medium,final_full/baselines|smote|union|F|R500|BASE;phase2b_ratio_search_medium|smote|union|F|R500|BASE
smote|union|F|R50|BASE,2,phase2a_scenario_search;phase2b_ratio_search_medium,phase2a_scenario_search|smote|union|F|R50|BASE;phase2b_ratio_search_medium|smote|union|F|R50|BASE
