run_key,campaign,method_id,method_display_vi,family,scenario,ratio,variant,garbage_rate,sql_structure_rate,unique_rate,normalized_unique_rate,dominant_payload_share,normalized_dominant_payload_share,family_motif_coverage,family_motif_hit_rate,eligible_requests,blocked_requests,not_blocked_requests,not_sent_too_long,waf_not_blocked_rate,quality_metrics_path,quality_metrics_sha256
final_full/baselines|ctgan|time|A|R200|BASE,final_full/baselines,ctgan,CTGAN,time,A,200,BASE,0.0004999999999999449,0.9995,0.037,0.037,0.099,0.099,0.8,0.9995,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/time/A/R200/BASE/quality_metrics.json,4598f44ae1ac64449c78c516b71476f0dfd021e708a4c14f17c5a78e75887157
final_full/baselines|ctgan|time|A|R500|BASE,final_full/baselines,ctgan,CTGAN,time,A,500,BASE,0.0014999999999999458,0.9985,0.015,0.015,0.1625,0.1625,0.8,0.9985,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/time/A/R500/BASE/quality_metrics.json,92914047d2954cd696aa3efcb3534699b71545f5adb58b14dc453e4d7a19b168
final_full/baselines|ctgan|time|D|R100|BASE,final_full/baselines,ctgan,CTGAN,time,D,100,BASE,0.0,1.0,0.0665,0.0665,0.0965,0.0965,0.8,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/time/D/R100/BASE/quality_metrics.json,6ad742f52ef8b7c9e6fc1fb529c038547c9593db293665fa339d249d8634b586
final_full/baselines|ctgan|time|D|R200|BASE,final_full/baselines,ctgan,CTGAN,time,D,200,BASE,0.0,1.0,0.0345,0.0345,0.0875,0.0875,0.8,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/time/D/R200/BASE/quality_metrics.json,70828356a7c07ce6176e5ffcf33b519c3fd72ff89638a16466392d4ce9b5071a
final_full/baselines|ctgan|time|D|R500|BASE,final_full/baselines,ctgan,CTGAN,time,D,500,BASE,0.0,1.0,0.015,0.015,0.154,0.154,0.8,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/time/D/R500/BASE/quality_metrics.json,a464dac98fc400b5c670325ede8bc97b068fe5bdcae5324f99695d1164ae2cb4
final_full/baselines|ctgan|union|D|R100|BASE,final_full/baselines,ctgan,CTGAN,union,D,100,BASE,0.0,1.0,0.0635,0.0635,0.045,0.045,1.0,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/union/D/R100/BASE/quality_metrics.json,aa940694321d254d3d290ce95d394828b82fd9b03dbf07b692486775c7741846
final_full/baselines|ctgan|union|D|R200|BASE,final_full/baselines,ctgan,CTGAN,union,D,200,BASE,0.0,1.0,0.036,0.036,0.106,0.106,1.0,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/union/D/R200/BASE/quality_metrics.json,785e23f8632849c76daea5e15311446c3a21140eb75ffb9a4d1732470b8350e5
final_full/baselines|ctgan|union|D|R500|BASE,final_full/baselines,ctgan,CTGAN,union,D,500,BASE,0.0,1.0,0.0155,0.0155,0.119,0.119,1.0,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/union/D/R500/BASE/quality_metrics.json,9e22ea4c48003ec61b09724778b3374022305fdee9a481006b56184148ef18ec
final_full/baselines|ctgan|union|F|R100|BASE,final_full/baselines,ctgan,CTGAN,union,F,100,BASE,0.0,1.0,0.063,0.063,0.0845,0.0845,1.0,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/union/F/R100/BASE/quality_metrics.json,62940002d518e75068469f5b06fef6bfe72d5cd82add70b628860aff146c65dc
final_full/baselines|ctgan|union|F|R200|BASE,final_full/baselines,ctgan,CTGAN,union,F,200,BASE,0.0,1.0,0.0345,0.0345,0.0775,0.0775,0.75,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/union/F/R200/BASE/quality_metrics.json,642ab28849ce65f3b77ada3f386c19de71bf9784c99d9cb3a826f64bff2027b9
final_full/baselines|ctgan|union|F|R500|BASE,final_full/baselines,ctgan,CTGAN,union,F,500,BASE,0.0,1.0,0.0155,0.0155,0.2035,0.2035,0.75,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/ctgan/union/F/R500/BASE/quality_metrics.json,e39f2869d54ccdfde75f529642c9f13ab22fe85e4f5a5379bbc023332e893e86
final_full/baselines|gan|boolean|D|R100|BASE,final_full/baselines,gan,Vanilla GAN,boolean,D,100,BASE,0.0,1.0,0.0075,0.0075,0.3925,0.3925,0.75,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/boolean/D/R100/BASE/quality_metrics.json,bb159b6596a1a3a1ff779dfb66787a3eb526bd54455571c90537ba2396586bc7
final_full/baselines|gan|boolean|D|R200|BASE,final_full/baselines,gan,Vanilla GAN,boolean,D,200,BASE,0.0,1.0,0.002,0.002,0.847,0.847,0.25,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/boolean/D/R200/BASE/quality_metrics.json,049a8b15fa82dd6cd4e2e4162d80f056713d4468be1fad61bd6183da81482f19
final_full/baselines|gan|boolean|D|R500|BASE,final_full/baselines,gan,Vanilla GAN,boolean,D,500,BASE,0.0,1.0,0.002,0.002,0.511,0.511,0.5,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/boolean/D/R500/BASE/quality_metrics.json,ac88e3f5fe4b8cb9a04b135b5744efee6f023a8312e146e455e8cbba4722e4cb
final_full/baselines|gan|boolean|E|R100|BASE,final_full/baselines,gan,Vanilla GAN,boolean,E,100,BASE,0.0,1.0,0.004,0.004,0.675,0.675,0.75,1.0,4000,3954,46,0,0.0115,final_result_info/final_full/baselines/gan/boolean/E/R100/BASE/quality_metrics.json,0805d7ed40c1cf730cdc3d92d1ce52db1569179e7032050c97e27817446b9e40
final_full/baselines|gan|boolean|E|R200|BASE,final_full/baselines,gan,Vanilla GAN,boolean,E,200,BASE,0.0,1.0,0.005,0.005,0.361,0.361,0.5,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/boolean/E/R200/BASE/quality_metrics.json,5588b8310dacdb02d9760b2cde9f24d9e72a25939e3c853bc55142122aab2722
final_full/baselines|gan|boolean|E|R500|BASE,final_full/baselines,gan,Vanilla GAN,boolean,E,500,BASE,0.0,1.0,0.0005,0.0005,1.0,1.0,0.25,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/boolean/E/R500/BASE/quality_metrics.json,4c6a8bea7132fac1edc5b8948ecdc74d92ed9befba06f10dda3a34056866f4ab
final_full/baselines|gan|error|B|R100|BASE,final_full/baselines,gan,Vanilla GAN,error,B,100,BASE,0.0,1.0,0.0085,0.0085,0.2535,0.2535,0.25,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/error/B/R100/BASE/quality_metrics.json,557545a1c42333b687c1c72fa3f39a266231a29e89934af2fdaa2d2c2997909a
final_full/baselines|gan|error|B|R200|BASE,final_full/baselines,gan,Vanilla GAN,error,B,200,BASE,0.0,1.0,0.0105,0.0105,0.14,0.14,0.125,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/error/B/R200/BASE/quality_metrics.json,527c38ca56d70740856d3735161bfa321d561b6e6eca9a9d15637c90e9847c79
final_full/baselines|gan|error|B|R500|BASE,final_full/baselines,gan,Vanilla GAN,error,B,500,BASE,0.0,1.0,0.0095,0.0095,0.096,0.096,0.125,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/error/B/R500/BASE/quality_metrics.json,90becd910d7e5972ddffa4a228cdcd0dc7e3e3d3f105aa84f0890514d2fd5b3c
final_full/baselines|gan|error|D|R100|BASE,final_full/baselines,gan,Vanilla GAN,error,D,100,BASE,0.0,1.0,0.0075,0.0075,0.455,0.455,0.25,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/error/D/R100/BASE/quality_metrics.json,ba5165e765481d962ad3980f70de2cfe664fa58860a384e1b9ded93ff6316398
final_full/baselines|gan|error|D|R200|BASE,final_full/baselines,gan,Vanilla GAN,error,D,200,BASE,0.0,1.0,0.001,0.001,0.9265,0.9265,0.125,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/error/D/R200/BASE/quality_metrics.json,acc50bd0c97cedd561d3a5a72cd46564d7ee9b0217e035837651a0cbdc4b5ac3
final_full/baselines|gan|error|D|R500|BASE,final_full/baselines,gan,Vanilla GAN,error,D,500,BASE,0.0,1.0,0.0015,0.0015,0.4715,0.4715,0.125,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/error/D/R500/BASE/quality_metrics.json,faf754e76786bf7f813b8fdb80b6546dd68d205ccc2a175b2f33bc917b2fa2d6
final_full/baselines|gan|time|A|R100|BASE,final_full/baselines,gan,Vanilla GAN,time,A,100,BASE,0.0,1.0,0.002,0.002,0.9275,0.9275,0.4,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/time/A/R100/BASE/quality_metrics.json,cad6dde7d05f88298d3b428a732d180edf1099738e13d8fe537b8d70db95e5f3
final_full/baselines|gan|time|A|R200|BASE,final_full/baselines,gan,Vanilla GAN,time,A,200,BASE,0.0,1.0,0.004,0.004,0.641,0.641,0.6,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/time/A/R200/BASE/quality_metrics.json,483201403664118f434a45ca4e90e0d94676fdec00fd9ee9d8992fafc9bace6f
final_full/baselines|gan|time|A|R500|BASE,final_full/baselines,gan,Vanilla GAN,time,A,500,BASE,0.0,1.0,0.0015,0.0015,0.937,0.937,0.4,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/time/A/R500/BASE/quality_metrics.json,aa19aa38b6f49e86ac67ee201a9daeb3347e9b8acb36608cc2c3c101d5eb2007
final_full/baselines|gan|time|D|R100|BASE,final_full/baselines,gan,Vanilla GAN,time,D,100,BASE,0.0,1.0,0.0085,0.0085,0.724,0.724,0.6,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/time/D/R100/BASE/quality_metrics.json,53ededc4147f3e026aaeebd30d3a637dcdcb845ffd1216a24935e32bc6914797
final_full/baselines|gan|time|D|R200|BASE,final_full/baselines,gan,Vanilla GAN,time,D,200,BASE,0.0,1.0,0.0015,0.0015,0.6485,0.6485,0.4,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/time/D/R200/BASE/quality_metrics.json,2fc63e940c44705fc41579f25580cc0c438561b95ef7a4dedd63a35304cea875
final_full/baselines|gan|time|D|R500|BASE,final_full/baselines,gan,Vanilla GAN,time,D,500,BASE,0.0,1.0,0.0025,0.0025,0.9275,0.9275,0.4,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/time/D/R500/BASE/quality_metrics.json,92600eef597cdddda86378b4330c246d53d0c2a8742295bfe35aa0a78ea84495
final_full/baselines|gan|union|D|R100|BASE,final_full/baselines,gan,Vanilla GAN,union,D,100,BASE,0.0,1.0,0.013,0.013,0.367,0.367,0.5,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/union/D/R100/BASE/quality_metrics.json,a0e895c881eb8b82d552c05d62006ecee2911725667bb16655c1229a72b2b365
final_full/baselines|gan|union|D|R200|BASE,final_full/baselines,gan,Vanilla GAN,union,D,200,BASE,0.0,1.0,0.0035,0.0035,0.5985,0.5985,0.5,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/union/D/R200/BASE/quality_metrics.json,7482bd8a2d2e34793d309315e332639ae14ca4707211f264d353e5da4f233b18
final_full/baselines|gan|union|D|R500|BASE,final_full/baselines,gan,Vanilla GAN,union,D,500,BASE,0.0,1.0,0.0015,0.0015,0.569,0.569,0.25,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/union/D/R500/BASE/quality_metrics.json,1ba00145278ad5911ec8c3e28179b2a0673bb0c8c33941eef9d2736138e0e361
final_full/baselines|gan|union|F|R100|BASE,final_full/baselines,gan,Vanilla GAN,union,F,100,BASE,0.0,1.0,0.0055,0.0055,0.2505,0.2505,0.25,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/union/F/R100/BASE/quality_metrics.json,f3799dc1a5c3310aeadee4664c9a11712f7ac275a3530a5f5cd7f0853eeec527
final_full/baselines|gan|union|F|R200|BASE,final_full/baselines,gan,Vanilla GAN,union,F,200,BASE,0.0,1.0,0.0025,0.0025,0.5325,0.5325,0.5,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/union/F/R200/BASE/quality_metrics.json,6a06f741c892bfee0ce8cead79886821e93ed2dfd54a290f10451d0ae66b2d8a
final_full/baselines|gan|union|F|R500|BASE,final_full/baselines,gan,Vanilla GAN,union,F,500,BASE,0.0,1.0,0.001,0.001,0.869,0.869,0.25,1.0,4000,4000,0,0,0.0,final_result_info/final_full/baselines/gan/union/F/R500/BASE/quality_metrics.json,2383dc89b262bc6fdd72ac645957032df59ad8f9afad1fe4d522b1de1cc8e4d8
final_full/baselines|seqgan_master|boolean|D|R100|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,boolean,D,100,BASE,0.8495,0.1505,0.747,0.5065,0.0165,0.13,0.25,0.014,4000,214,3786,0,0.9465,final_result_info/final_full/baselines/seqgan_master/boolean/D/R100/BASE/quality_metrics.json,4bb4298e22f66894d466f9f61e0dbfea95b6d7256743b2d486c224300177cd7a
final_full/baselines|seqgan_master|boolean|D|R200|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,boolean,D,200,BASE,0.9425,0.0575,0.569,0.488,0.181,0.1815,0.25,0.001,4000,50,3950,0,0.9875,final_result_info/final_full/baselines/seqgan_master/boolean/D/R200/BASE/quality_metrics.json,86c92ea4ed396c19d6f647908b5d4eafbe1fa8023908b4cd21aef2a54d3b6d5d
final_full/baselines|seqgan_master|boolean|D|R500|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,boolean,D,500,BASE,1.0,0.0,0.9985,0.9985,0.001,0.001,0.0,0.0,4000,0,4000,0,1.0,final_result_info/final_full/baselines/seqgan_master/boolean/D/R500/BASE/quality_metrics.json,ce756800064d61464be68865367bf2ac01c14d80287a5b8bb4bb1b117423469c
final_full/baselines|seqgan_master|boolean|E|R100|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,boolean,E,100,BASE,0.963,0.037,0.35,0.291,0.1455,0.2485,0.25,0.008,4000,30,3970,0,0.9925,final_result_info/final_full/baselines/seqgan_master/boolean/E/R100/BASE/quality_metrics.json,5889fe31577b255c7292f9e8bf72080a4823f4457b28a8d87dce3707b3247cb9
final_full/baselines|seqgan_master|boolean|E|R200|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,boolean,E,200,BASE,0.8315,0.1685,0.8465,0.6715,0.0105,0.0595,0.25,0.0475,4000,208,3792,0,0.948,final_result_info/final_full/baselines/seqgan_master/boolean/E/R200/BASE/quality_metrics.json,2d11626c8cb5e1e350dffb1820fa1159d90aadba05111184e9da7bdb39fad95d
final_full/baselines|seqgan_master|boolean|E|R500|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,boolean,E,500,BASE,1.0,0.0,0.81,0.805,0.023,0.023,0.0,0.0,4000,0,4000,0,1.0,final_result_info/final_full/baselines/seqgan_master/boolean/E/R500/BASE/quality_metrics.json,e53d77c2ed538fe4abda1d7e7657cf48b1369b7e1644f28c3d50000ee134fc19
final_full/baselines|seqgan_master|error|B|R100|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,error,B,100,BASE,0.39949999999999997,0.6005,0.061,0.06,0.291,0.291,0.25,0.2075,4000,1024,2976,0,0.744,final_result_info/final_full/baselines/seqgan_master/error/B/R100/BASE/quality_metrics.json,76685805232c0ab0a29f70e9a22e79b08a02dd819d2692069a579f5a9ff31097
final_full/baselines|seqgan_master|error|B|R200|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,error,B,200,BASE,1.0,0.0,0.0055,0.0045,0.995,0.995,0.0,0.0,4000,0,4000,0,1.0,final_result_info/final_full/baselines/seqgan_master/error/B/R200/BASE/quality_metrics.json,ae8931fd64e0ed698fb93d890da03208cf0daa75edf75b678dad528f5460fb7b
final_full/baselines|seqgan_master|error|B|R500|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,error,B,500,BASE,0.992,0.008,0.999,0.999,0.001,0.001,0.0,0.0,4000,22,3978,0,0.9945,final_result_info/final_full/baselines/seqgan_master/error/B/R500/BASE/quality_metrics.json,ef0f6feceb7a66d9cfa640040815ee9edeeba0dc48129b3634c619d414943ad5
final_full/baselines|seqgan_master|error|D|R100|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,error,D,100,BASE,0.993,0.007,0.051,0.0335,0.1735,0.5455,0.0,0.0,4000,10,3990,0,0.9975,final_result_info/final_full/baselines/seqgan_master/error/D/R100/BASE/quality_metrics.json,01985661d0954b7999967976da98d78b99393a41e4a7a9d3307149cefddcea4c
final_full/baselines|seqgan_master|error|D|R200|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,error,D,200,BASE,0.834,0.166,0.721,0.5625,0.0235,0.144,0.0,0.0,4000,124,3876,0,0.969,final_result_info/final_full/baselines/seqgan_master/error/D/R200/BASE/quality_metrics.json,318441530acea855a8e63c3e6ce52458449fd928f57edb056f93adf4d08be03a
final_full/baselines|seqgan_master|error|D|R500|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,error,D,500,BASE,0.996,0.004,0.453,0.453,0.073,0.073,0.0,0.0,4000,2,3998,0,0.9995,final_result_info/final_full/baselines/seqgan_master/error/D/R500/BASE/quality_metrics.json,29afe708415ac78b5b7df888b69daafff36ab0c24e9aaaec406b79c9725c3032
final_full/baselines|seqgan_master|time|A|R100|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,time,A,100,BASE,0.863,0.137,0.325,0.24,0.181,0.4135,0.4,0.023,4000,284,3716,0,0.929,final_result_info/final_full/baselines/seqgan_master/time/A/R100/BASE/quality_metrics.json,e1734f53dda738e9e9387c901ce55e2bc1c168dea102ada9607a87a31dd678dd
final_full/baselines|seqgan_master|time|A|R200|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,time,A,200,BASE,0.7560240963855421,0.24397590361445784,0.8659638554216867,0.7891566265060241,0.014056224899598393,0.029116465863453816,0.4,0.013052208835341365,4000,472,3528,0,0.882,final_result_info/final_full/baselines/seqgan_master/time/A/R200/BASE/quality_metrics.json,c6a25e4ca49b7bc13ec3ff5eaa438f2b23e694b9777d9c80256e4563d2afc224
final_full/baselines|seqgan_master|time|A|R500|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,time,A,500,BASE,1.0,0.0,0.986,0.9855,0.002,0.002,0.0,0.0,4000,8,3992,0,0.998,final_result_info/final_full/baselines/seqgan_master/time/A/R500/BASE/quality_metrics.json,e70c5c31a7aa337ced90bdd9fe091cc999dab2e7b861e6f88017d86ac487fecf
final_full/baselines|seqgan_master|time|D|R100|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,time,D,100,BASE,0.6875,0.3125,0.737,0.6015,0.0115,0.0625,0.4,0.0115,4000,536,3464,0,0.866,final_result_info/final_full/baselines/seqgan_master/time/D/R100/BASE/quality_metrics.json,ed2843e34281274efeb8657d7167f83a39d212082e196ec5e906104278ef9497
final_full/baselines|seqgan_master|time|D|R200|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,time,D,200,BASE,0.9375,0.0625,0.5645,0.475,0.1155,0.1355,0.0,0.0,4000,24,3976,0,0.994,final_result_info/final_full/baselines/seqgan_master/time/D/R200/BASE/quality_metrics.json,5c03ee1b7f5f9a7ea388d59868d2e8391ec9d6e50d206b86910b55027eec789b
final_full/baselines|seqgan_master|time|D|R500|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,time,D,500,BASE,1.0,0.0,0.0345,0.0345,0.842,0.842,0.0,0.0,4000,0,4000,0,1.0,final_result_info/final_full/baselines/seqgan_master/time/D/R500/BASE/quality_metrics.json,5c27afe382878fc17deb2e9118db90a0464c8eb3c9b0d52ec7b8c50c85aa0f6d
final_full/baselines|seqgan_master|union|D|R100|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,union,D,100,BASE,0.1805,0.8195,0.026,0.024,0.6545,0.6545,0.5,0.789,4000,1340,2660,0,0.665,final_result_info/final_full/baselines/seqgan_master/union/D/R100/BASE/quality_metrics.json,4ad7bfda6af33bae947d0bda96342a8ba797cdd8e6735d0750ab2aa48223bf5b
final_full/baselines|seqgan_master|union|D|R200|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,union,D,200,BASE,0.133,0.867,0.0335,0.03,0.542,0.542,0.5,0.773,4000,1790,2210,0,0.5525,final_result_info/final_full/baselines/seqgan_master/union/D/R200/BASE/quality_metrics.json,c1d3c9c93b31d68d7c2ac21e39440a6672e5abe20e97888bb839c47cd4089f04
final_full/baselines|seqgan_master|union|D|R500|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,union,D,500,BASE,1.0,0.0,0.3325,0.3325,0.374,0.374,0.0,0.0,4000,6,3994,0,0.9985,final_result_info/final_full/baselines/seqgan_master/union/D/R500/BASE/quality_metrics.json,1a127b43cfc43c794ca28f38c43996b0122a7fd1f6f2e518b6e1cae331e090e1
final_full/baselines|seqgan_master|union|F|R100|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,union,F,100,BASE,0.0034999999999999476,0.9965,0.01,0.01,0.99,0.99,0.5,0.994,4000,6,3994,0,0.9985,final_result_info/final_full/baselines/seqgan_master/union/F/R100/BASE/quality_metrics.json,e2ff63f94d85584d11f867ccaa1560a0103dae43ae72a666b1910dbfbe3e7d39
final_full/baselines|seqgan_master|union|F|R200|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,union,F,200,BASE,0.006000000000000005,0.994,0.0135,0.0135,0.939,0.939,0.5,0.993,4000,210,3790,0,0.9475,final_result_info/final_full/baselines/seqgan_master/union/F/R200/BASE/quality_metrics.json,8bc30c7a55e7f893bd39b7edb0c98cd8ed2eaf1c90d9e7932e678e6b4ce973f0
final_full/baselines|seqgan_master|union|F|R500|BASE,final_full/baselines,seqgan_master,SeqGAN cơ sở,union,F,500,BASE,1.0,0.0,0.977,0.977,0.002,0.002,0.0,0.0,4000,102,3898,0,0.9745,final_result_info/final_full/baselines/seqgan_master/union/F/R500/BASE/quality_metrics.json,43142a95e3317a0f02a2fb0f01afd1040a04c8969bc5bfc5382e0969e2df4f21
