probe_index,source_row,method,payload,url,status,blocked,outcome,request_sent,url_length,latency_ms,attempts,error
17,2088,POST,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  'aatp'  =  'aatp",http://localhost:18080/,403,True,blocked,True,23,14.645,1,
18,716,GET,"1' in boolean mode  )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   #",http://localhost:18080/?payload=1%27+in+boolean+mode++%29+++and+exp++%28++~++%28++select+%2A+from+++%28++select+concat++%28++0x7171706a71%2C++%28++select+++%28++elt++%28++8190++%3D++8190%2C1+++%29++++%29+++++%29++%2C0x717a767a71%2C0x78+++%29++++%29+++x+++%29++++%29+++%23,403,True,blocked,True,271,12.526,1,
19,716,POST,"1' in boolean mode  )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   #",http://localhost:18080/,403,True,blocked,True,23,17.911,1,
20,1338,GET,"1 and make_set  (  8403  =  8403,8899  )  ",http://localhost:18080/?payload=1+and+make_set++%28++8403++%3D++8403%2C8899++%29++,403,True,blocked,True,82,14.798,1,
21,1338,POST,"1 and make_set  (  8403  =  8403,8899  )  ",http://localhost:18080/,403,True,blocked,True,23,22.228,1,
22,793,GET,"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'cgbf' like 'cgbf",http://localhost:18080/?payload=1%27+and+6055++%3D++ctxsys.drithsx.sn++%28++6055%2C++%28++chr++%28++113++%29++%7C%7Cchr++%28++113++%29++%7C%7Cchr++%28++112++%29++%7C%7Cchr++%28++106++%29++%7C%7Cchr++%28++113++%29++%7C%7C++%28++select+++%28++case+when+++%28++6055++%3D++6055++%29+++then+1+else+0+end++%29+++from+dual++%29++%7C%7Cchr++%28++113++%29++%7C%7Cchr++%28++122++%29++%7C%7Cchr++%28++118++%29++%7C%7Cchr++%28++122++%29++%7C%7Cchr++%28++113+++%29++++%29+++++%29+++and+%27cgbf%27+like+%27cgbf,403,True,blocked,True,496,18.17,1,
23,793,POST,"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'cgbf' like 'cgbf",http://localhost:18080/,403,True,blocked,True,23,17.648,1,
24,4577,GET,"1'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",http://localhost:18080/?payload=1%27++%29+++or+8514++%3D++benchmark++%28++5000000%2Cmd5++%28++0x544d5a4c+++%29++++%29+++%23,403,True,blocked,True,123,19.244,1,
25,4577,POST,"1'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",http://localhost:18080/,403,True,blocked,True,23,14.215,1,
26,4396,GET,select count  (  *  ,http://localhost:18080/?payload=select+count++%28++%2A++,200,False,bypass,True,56,11.869,1,
27,4396,POST,select count  (  *  ,http://localhost:18080/,200,False,bypass,True,23,20.331,1,
28,3109,GET,1 and user_name  (    )     =   'dbo',http://localhost:18080/?payload=1+and+user_name++%28++++%29+++++%3D+++%27dbo%27,403,True,blocked,True,79,10.908,1,
29,3109,POST,1 and user_name  (    )     =   'dbo',http://localhost:18080/,403,True,blocked,True,23,8.744,1,
30,1220,GET,"-1631%""  )   or elt  (  8285  =  1709,1709  )   and   (  ""%""  =  """,http://localhost:18080/?payload=-1631%25%22++%29+++or+elt++%28++8285++%3D++1709%2C1709++%29+++and+++%28++%22%25%22++%3D++%22,403,True,blocked,True,124,8.7,1,
31,1220,POST,"-1631%""  )   or elt  (  8285  =  1709,1709  )   and   (  ""%""  =  """,http://localhost:18080/,403,True,blocked,True,23,8.852,1,
32,1270,GET,"-1269"" union all select 8412,8412,8412,8412,8412,8412,8412,8412--",http://localhost:18080/?payload=-1269%22+union+all+select+8412%2C8412%2C8412%2C8412%2C8412%2C8412%2C8412%2C8412--,403,True,blocked,True,113,7.588,1,
33,1270,POST,"-1269"" union all select 8412,8412,8412,8412,8412,8412,8412,8412--",http://localhost:18080/,403,True,blocked,True,23,6.734,1,
34,462,GET,1   )    )    as syot where 1199  =  1199,http://localhost:18080/?payload=1+++%29++++%29++++as+syot+where+1199++%3D++1199,403,True,blocked,True,79,5.911,1,
35,462,POST,1   )    )    as syot where 1199  =  1199,http://localhost:18080/,403,True,blocked,True,23,8.247,1,
36,1293,GET,"1""   )    )    as isqj where 6344  =  6344 union all select null,null,null,null--",http://localhost:18080/?payload=1%22+++%29++++%29++++as+isqj+where+6344++%3D++6344+union+all+select+null%2Cnull%2Cnull%2Cnull--,403,True,blocked,True,127,9.77,1,
37,1293,POST,"1""   )    )    as isqj where 6344  =  6344 union all select null,null,null,null--",http://localhost:18080/,403,True,blocked,True,23,15.241,1,
38,6103,GET,"-5817' in boolean mode  )   union all select 2391,2391,2391,2391,2391--",http://localhost:18080/?payload=-5817%27+in+boolean+mode++%29+++union+all+select+2391%2C2391%2C2391%2C2391%2C2391--,403,True,blocked,True,115,9.78,1,
39,6103,POST,"-5817' in boolean mode  )   union all select 2391,2391,2391,2391,2391--",http://localhost:18080/,403,True,blocked,True,23,8.789,1,
40,2934,GET,"1""   )    )    as oiqr where 4073  =  4073 or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",http://localhost:18080/?payload=1%22+++%29++++%29++++as+oiqr+where+4073++%3D++4073+or+8156++%3D++++%28++select+count++%28++%2A++%29+++from+generate_series++%28++1%2C5000000+++%29++++%29+++--,403,True,blocked,True,190,16.255,1,
41,2934,POST,"1""   )    )    as oiqr where 4073  =  4073 or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",http://localhost:18080/,403,True,blocked,True,23,5.719,1,
42,720,GET,"1%""   )    )     )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""%""  =  """,http://localhost:18080/?payload=1%25%22+++%29++++%29+++++%29+++and+exp++%28++~++%28++select+%2A+from+++%28++select+concat++%28++0x7171706a71%2C++%28++select+++%28++elt++%28++8190++%3D++8190%2C1+++%29++++%29+++++%29++%2C0x717a767a71%2C0x78+++%29++++%29+++x+++%29++++%29++++and++++%28++++%28+++++%28++%22%25%22++%3D++%22,403,True,blocked,True,318,5.835,1,
43,720,POST,"1%""   )    )     )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""%""  =  """,http://localhost:18080/,403,True,blocked,True,23,5.948,1,
44,1780,GET,1  )   as ilqx where 8547  =  8547,http://localhost:18080/?payload=1++%29+++as+ilqx+where+8547++%3D++8547,403,True,blocked,True,70,12.548,1,
45,1780,POST,1  )   as ilqx where 8547  =  8547,http://localhost:18080/,403,True,blocked,True,23,14.303,1,
46,4636,GET,"-2790""   )    )    as vcvw where 6075  =  6075 or 7078  =  8148--",http://localhost:18080/?payload=-2790%22+++%29++++%29++++as+vcvw+where+6075++%3D++6075+or+7078++%3D++8148--,403,True,blocked,True,107,14.432,1,
47,4636,POST,"-2790""   )    )    as vcvw where 6075  =  6075 or 7078  =  8148--",http://localhost:18080/,403,True,blocked,True,23,20.57,1,
48,571,GET,"1'||  (  select 'fmss' from dual where 7025  =  7025 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )     )  ||'",http://localhost:18080/?payload=1%27%7C%7C++%28++select+%27fmss%27+from+dual+where+7025++%3D++7025+or+8421++%3D++++%28++select+count++%28++%2A++%29+++from+generate_series++%28++1%2C5000000+++%29++++%29+++++%29++%7C%7C%27,403,True,blocked,True,220,22.467,1,
49,571,POST,"1'||  (  select 'fmss' from dual where 7025  =  7025 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )     )  ||'",http://localhost:18080/,403,True,blocked,True,23,14.998,1,
50,5464,GET,"1'   )    )     )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (     (  'gfll'  =  'gfll",http://localhost:18080/?payload=1%27+++%29++++%29+++++%29+++procedure+analyse++%28++extractvalue++%28++5840%2Cconcat++%28++0x5c%2C0x7171706a71%2C++%28++select+++%28++case+when+++%28++5840++%3D++5840++%29+++then+1+else+0+end+++%29++++%29+++%2C0x717a767a71+++%29++++%29+++%2C1++%29+++and++++%28++++%28+++++%28++%27gfll%27++%3D++%27gfll,403,True,blocked,True,333,15.016,1,
51,5464,POST,"1'   )    )     )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (     (  'gfll'  =  'gfll",http://localhost:18080/,403,True,blocked,True,23,11.815,1,
52,4000,GET,1   )    )    or exp,http://localhost:18080/?payload=1+++%29++++%29++++or+exp,200,False,bypass,True,56,10.219,1,
53,4000,POST,1   )    )    or exp,http://localhost:18080/,200,False,bypass,True,23,9.722,1,
54,4454,GET,"1""  )   or 6327  =  ",http://localhost:18080/?payload=1%22++%29+++or+6327++%3D++,403,True,blocked,True,58,12.014,1,
55,4454,POST,"1""  )   or 6327  =  ",http://localhost:18080/,403,True,blocked,True,23,12.017,1,
56,4714,GET,"1%""  )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and   (  ""%""  =  """,http://localhost:18080/?payload=1%25%22++%29+++or+9643++%3D++++%28++select+count++%28++%2A++%29+++from+domain.domains+as+t1%2Cdomain.columns+as+t2%2Cdomain.tables+as+t3++%29+++and+++%28++%22%25%22++%3D++%22,403,True,blocked,True,206,12.079,1,
57,4714,POST,"1%""  )   or 9643  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and   (  ""%""  =  """,http://localhost:18080/,403,True,blocked,True,23,12.603,1,
58,1108,GET,"1' and make_set  (  2942  =  8200,8200  )   and 'jnhv' like 'jnhv",http://localhost:18080/?payload=1%27+and+make_set++%28++2942++%3D++8200%2C8200++%29+++and+%27jnhv%27+like+%27jnhv,403,True,blocked,True,113,11.482,1,
59,1108,POST,"1' and make_set  (  2942  =  8200,8200  )   and 'jnhv' like 'jnhv",http://localhost:18080/,403,True,blocked,True,23,10.869,1,
60,5444,GET,1 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )  -- saxs,http://localhost:18080/?payload=1+rlike+++%28++select+%2A+from+++%28++select++%28++sleep++%28++5+++%29++++%29+++++%29++sgvo++%29++--+saxs,403,True,blocked,True,137,6.805,1,
61,5444,POST,1 rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )  -- saxs,http://localhost:18080/,403,True,blocked,True,23,6.663,1,
62,4570,GET,"-4318""  )   as vpvt where 5543  =  5543 union all select 5543,5543,5543,5543,5543,5543--",http://localhost:18080/?payload=-4318%22++%29+++as+vpvt+where+5543++%3D++5543+union+all+select+5543%2C5543%2C5543%2C5543%2C5543%2C5543--,403,True,blocked,True,136,6.678,1,
63,4570,POST,"-4318""  )   as vpvt where 5543  =  5543 union all select 5543,5543,5543,5543,5543,5543--",http://localhost:18080/,403,True,blocked,True,23,5.532,1,
64,3754,GET,"1'   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   'sxgl'  =  'sxgl",http://localhost:18080/?payload=1%27+++%29++++%29++++and+make_set++%28++8403++%3D++8403%2C8899++%29+++and++++%28++++%28+++%27sxgl%27++%3D++%27sxgl,403,True,blocked,True,146,5.512,1,
65,3754,POST,"1'   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   'sxgl'  =  'sxgl",http://localhost:18080/,403,True,blocked,True,23,5.371,1,
66,1014,GET,1%'   )    )     )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  '%'  =  ',http://localhost:18080/?payload=1%25%27+++%29++++%29+++++%29+++and+4386++%3D++utl_inaddr.get_host_address++%28++chr++%28++113++%29++%7C%7Cchr++%28++113++%29++%7C%7Cchr++%28++112++%29++%7C%7Cchr++%28++106++%29++%7C%7Cchr++%28++113++%29++%7C%7C++%28++select+++%28++case+when+++%28++4386++%3D++4386++%29+++then+1+else+0+end++%29+++from+dual++%29++%7C%7Cchr++%28++113++%29++%7C%7Cchr++%28++122++%29++%7C%7Cchr++%28++118++%29++%7C%7Cchr++%28++122++%29++%7C%7Cchr++%28++113+++%29++++%29++++and++++%28++++%28+++++%28++%27%25%27++%3D++%27,403,True,blocked,True,530,7.325,1,
67,1014,POST,1%'   )    )     )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  '%'  =  ',http://localhost:18080/,403,True,blocked,True,23,6.38,1,
68,333,GET,"-7418 union all select 1340,1340,1340,1340,1340#",http://localhost:18080/?payload=-7418+union+all+select+1340%2C1340%2C1340%2C1340%2C1340%23,403,True,blocked,True,90,6.052,1,
69,333,POST,"-7418 union all select 1340,1340,1340,1340,1340#",http://localhost:18080/,403,True,blocked,True,23,6.774,1,
70,4126,GET, select * from users,http://localhost:18080/?payload=+select+%2A+from+users,200,False,bypass,True,54,7.507,1,
71,4126,POST, select * from users,http://localhost:18080/,200,False,bypass,True,23,7.204,1,
72,4027,GET,"1%""   )    )    unio",http://localhost:18080/?payload=1%25%22+++%29++++%29++++unio,200,False,bypass,True,60,8.425,1,
73,4027,POST,"1%""   )    )    unio",http://localhost:18080/,200,False,bypass,True,23,7.067,1,
74,5354,GET,select   (  case when   (  6969  =  5797  )   then 6969 else 6969*  (  select 6969 from information_schema.character_sets  )   end  )  #,http://localhost:18080/?payload=select+++%28++case+when+++%28++6969++%3D++5797++%29+++then+6969+else+6969%2A++%28++select+6969+from+information_schema.character_sets++%29+++end++%29++%23,403,True,blocked,True,186,6.366,1,
75,5354,POST,select   (  case when   (  6969  =  5797  )   then 6969 else 6969*  (  select 6969 from information_schema.character_sets  )   end  )  #,http://localhost:18080/,403,True,blocked,True,23,6.114,1,
76,4961,GET," select * from users where id  =  1 or ""1;""  =  1 or 1  =  1 -- 1",http://localhost:18080/?payload=+select+%2A+from+users+where+id++%3D++1+or+%221%3B%22++%3D++1+or+1++%3D++1+--+1,403,True,blocked,True,111,5.618,1,
77,4961,POST," select * from users where id  =  1 or ""1;""  =  1 or 1  =  1 -- 1",http://localhost:18080/,403,True,blocked,True,23,5.787,1,
78,6407,GET,"1""  )   and   (  4085  =  4885  )  *4885 and   (  ""sxte""  =  ""sxte",http://localhost:18080/?payload=1%22++%29+++and+++%28++4085++%3D++4885++%29++%2A4885+and+++%28++%22sxte%22++%3D++%22sxte,403,True,blocked,True,120,5.523,1,
79,6407,POST,"1""  )   and   (  4085  =  4885  )  *4885 and   (  ""sxte""  =  ""sxte",http://localhost:18080/,403,True,blocked,True,23,6.882,1,
80,4216,GET,"1%""  )   or 23367  =",http://localhost:18080/?payload=1%25%22++%29+++or+23367++%3D,403,True,blocked,True,60,6.2,1,
81,4216,POST,"1%""  )   or 23367  =",http://localhost:18080/,403,True,blocked,True,23,7.548,1,
82,3779,GET,"1""   )    )    as yiaw where 2841  =  2841 or sleep  (  5  )  --",http://localhost:18080/?payload=1%22+++%29++++%29++++as+yiaw+where+2841++%3D++2841+or+sleep++%28++5++%29++--,403,True,blocked,True,108,7.276,1,
83,3779,POST,"1""   )    )    as yiaw where 2841  =  2841 or sleep  (  5  )  --",http://localhost:18080/,403,True,blocked,True,23,6.643,1,
84,4852,GET," select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",http://localhost:18080/?payload=+select+%2A+from+users+where+id++%3D++1+or+%5C%3C+++%3D++1+union+select+1%2C%40%40VERSION+--+1,403,True,blocked,True,126,6.402,1,
85,4852,POST," select * from users where id  =  1 or \<   =  1 union select 1,@@VERSION -- 1",http://localhost:18080/,403,True,blocked,True,23,6.263,1,
86,1374,GET,end# ckxq,http://localhost:18080/?payload=end%23+ckxq,200,False,bypass,True,43,7.385,1,
87,1374,POST,end# ckxq,http://localhost:18080/,200,False,bypass,True,23,13.739,1,
88,5431,GET,select   (  case when   (  5423  =  7706  )   then 5423 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,http://localhost:18080/?payload=select+++%28++case+when+++%28++5423++%3D++7706++%29+++then+5423+else+cast++%28++1+as+int++%29++%2F++%28++select+0+from+dual++%29+++end++%29+++from+dual--,403,True,blocked,True,185,8.121,1,
89,5431,POST,select   (  case when   (  5423  =  7706  )   then 5423 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--,http://localhost:18080/,403,True,blocked,True,23,8.338,1,
90,6177,GET,"1'   )    )    as hbdi where 6758  =  6758 and elt  (  1210  =  1210,sleep  (  5   )    )   --",http://localhost:18080/?payload=1%27+++%29++++%29++++as+hbdi+where+6758++%3D++6758+and+elt++%28++1210++%3D++1210%2Csleep++%28++5+++%29++++%29+++--,403,True,blocked,True,146,8.129,1,
91,6177,POST,"1'   )    )    as hbdi where 6758  =  6758 and elt  (  1210  =  1210,sleep  (  5   )    )   --",http://localhost:18080/,403,True,blocked,True,23,8.467,1,
92,4156,GET,select   (  case whe,http://localhost:18080/?payload=select+++%28++case+whe,200,False,bypass,True,54,10.188,1,
93,4156,POST,select   (  case whe,http://localhost:18080/,200,False,bypass,True,23,7.667,1,
94,1186,GET,"-9808' in boolean mode  )   union all select 2528,2528,2528,2528,2528,2528,2528--",http://localhost:18080/?payload=-9808%27+in+boolean+mode++%29+++union+all+select+2528%2C2528%2C2528%2C2528%2C2528%2C2528%2C2528--,403,True,blocked,True,129,5.734,1,
95,1186,POST,"-9808' in boolean mode  )   union all select 2528,2528,2528,2528,2528,2528,2528--",http://localhost:18080/,403,True,blocked,True,23,8.95,1,
96,4819,GET,"1'+  (  select niht where 7294  =  7294 and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",http://localhost:18080/?payload=1%27%2B++%28++select+niht+where+7294++%3D++7294+and+3580++%3D++++%28++select+count++%28++%2A++%29+++from+domain.domains+as+t1%2Cdomain.columns+as+t2%2Cdomain.tables+as+t3++%29++--,403,True,blocked,True,211,7.677,1,
97,4819,POST,"1'+  (  select niht where 7294  =  7294 and 3580  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",http://localhost:18080/,403,True,blocked,True,23,6.787,1,
98,1358,GET,select sleep  (  5  )   and    (    (   8679  =  8679,http://localhost:18080/?payload=select+sleep++%28++5++%29+++and++++%28++++%28+++8679++%3D++8679,403,True,blocked,True,95,6.572,1,
99,1358,POST,select sleep  (  5  )   and    (    (   8679  =  8679,http://localhost:18080/,403,True,blocked,True,23,10.906,1,
100,4148,GET,"1%""   )    )     )  ",http://localhost:18080/?payload=1%25%22+++%29++++%29+++++%29++,200,False,bypass,True,62,6.386,1,
101,4148,POST,"1%""   )    )     )  ",http://localhost:18080/,200,False,bypass,True,23,6.921,1,
102,5355,GET,1'||  (  select 'xemx' from dual where 4683  =  4683 or sleep  (  5  )  #,http://localhost:18080/?payload=1%27%7C%7C++%28++select+%27xemx%27+from+dual+where+4683++%3D++4683+or+sleep++%28++5++%29++%23,403,True,blocked,True,125,7.559,1,
103,5355,POST,1'||  (  select 'xemx' from dual where 4683  =  4683 or sleep  (  5  )  #,http://localhost:18080/,403,True,blocked,True,23,6.382,1,
104,4904,GET,"1' and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and 'hmqq'  =  'hmqq",http://localhost:18080/?payload=1%27+and+3824++%3D++benchmark++%28++5000000%2Cmd5++%28++0x76555642+++%29++++%29++++and+%27hmqq%27++%3D++%27hmqq,403,True,blocked,True,143,5.628,1,
105,4904,POST,"1' and 3824  =  benchmark  (  5000000,md5  (  0x76555642   )    )    and 'hmqq'  =  'hmqq",http://localhost:18080/,403,True,blocked,True,23,5.878,1,
106,192,GET,1'   )    )    as hzbj where 1725  =  1725 or sleep  (  5  )  #,http://localhost:18080/?payload=1%27+++%29++++%29++++as+hzbj+where+1725++%3D++1725+or+sleep++%28++5++%29++%23,403,True,blocked,True,109,7.075,1,
107,192,POST,1'   )    )    as hzbj where 1725  =  1725 or sleep  (  5  )  #,http://localhost:18080/,403,True,blocked,True,23,7.814,1,
108,3300,GET,1'||  (  select 'zqwd' where 1647  =  1647 rlike sleep  (  5   )    )   ||',http://localhost:18080/?payload=1%27%7C%7C++%28++select+%27zqwd%27+where+1647++%3D++1647+rlike+sleep++%28++5+++%29++++%29+++%7C%7C%27,403,True,blocked,True,133,6.569,1,
109,3300,POST,1'||  (  select 'zqwd' where 1647  =  1647 rlike sleep  (  5   )    )   ||',http://localhost:18080/,403,True,blocked,True,23,5.622,1,
