probe_index,source_row,method,payload,url,status,blocked,outcome,request_sent,url_length,latency_ms,attempts,error,audit_rule_ids,audit_transaction_ids,audit_messages,audit_files
10,3927,GET,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,http://localhost:18080/?payload=1%27+++%29++++%29++++or+sleep++%28++5++%29+++and++++%28++++%28+++%27uzhd%27+like+%27uzhd,403,True,blocked,True,120,7.847,1,,942100|942160|949110,17845705822.077600,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-17845705822.077600
11,3927,POST,1'   )    )    or sleep  (  5  )   and    (    (   'uzhd' like 'uzhd,http://localhost:18080/,403,True,blocked,True,23,8.528,1,,942100|942160|949110,178457058295.997340,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058295.997340
12,2647,GET,"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",http://localhost:18080/?payload=1%27%2B++%28++select+lhho+where+7579++%3D++7579+and+char++%28++109++%29++%7C%7Cchar++%28++79++%29++%7C%7Cchar++%28++70++%29++%7C%7Cchar++%28++90++%29++++%3D++regexp_substring++%28++repeat++%28++right++%28++char++%28++5012++%29++%2C0++%29++%2C5000000000++%29++%2Cnull++%29++--,403,True,blocked,True,307,10.504,1,,942100|942360|949110,178457058235.111372,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack Detected via libinjection"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058235.111372
13,2647,POST,"1'+  (  select lhho where 7579  =  7579 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --",http://localhost:18080/,403,True,blocked,True,23,12.973,1,,942100|942360|949110,178457058258.996509,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack Detected via libinjection"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058258.996509
14,2005,GET,"1   )    )    as spdf where 8554  =  8554 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",http://localhost:18080/?payload=1+++%29++++%29++++as+spdf+where+8554++%3D++8554+or+2633++%3D++dbms_pipe.receive_message++%28++chr++%28++112++%29++%7C%7Cchr++%28++65++%29++%7C%7Cchr++%28++65++%29++%7C%7Cchr++%28++103++%29++%2C5++%29++--,403,True,blocked,True,235,8.786,1,,933160|942100|949110,178457058290.510568,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058290.510568
15,2005,POST,"1   )    )    as spdf where 8554  =  8554 or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )  --",http://localhost:18080/,403,True,blocked,True,23,7.014,1,,933160|942100|949110,178457058283.544323,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058283.544323
16,2088,GET,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  'aatp'  =  'aatp",http://localhost:18080/?payload=select+dbms_pipe.receive_message++%28++chr++%28++66++%29++%7C%7Cchr++%28++67++%29++%7C%7Cchr++%28++79++%29++%7C%7Cchr++%28++101++%29++%2C5++%29+++from+dual+and++++%28++++%28+++++%28++%27aatp%27++%3D++%27aatp,403,True,blocked,True,239,5.623,1,,933160|942100|949110,178457058273.813182,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058273.813182
17,2088,POST,"select dbms_pipe.receive_message  (  chr  (  66  )  ||chr  (  67  )  ||chr  (  79  )  ||chr  (  101  )  ,5  )   from dual and    (    (     (  'aatp'  =  'aatp",http://localhost:18080/,403,True,blocked,True,23,14.645,1,,933160|942100|949110,178457058245.613347,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058245.613347
18,716,GET,"1' in boolean mode  )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   #",http://localhost:18080/?payload=1%27+in+boolean+mode++%29+++and+exp++%28++~++%28++select+%2A+from+++%28++select+concat++%28++0x7171706a71%2C++%28++select+++%28++elt++%28++8190++%3D++8190%2C1+++%29++++%29+++++%29++%2C0x717a767a71%2C0x78+++%29++++%29+++x+++%29++++%29+++%23,403,True,blocked,True,271,12.526,1,,933160|942100|942151|949110,178457058232.677057,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058232.677057
19,716,POST,"1' in boolean mode  )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )   #",http://localhost:18080/,403,True,blocked,True,23,17.911,1,,933160|942100|942151|949110,178457058296.200785,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058296.200785
20,1338,GET,"1 and make_set  (  8403  =  8403,8899  )  ",http://localhost:18080/?payload=1+and+make_set++%28++8403++%3D++8403%2C8899++%29++,403,True,blocked,True,82,14.798,1,,942100|942151|949110,178457058247.035020,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058247.035020
21,1338,POST,"1 and make_set  (  8403  =  8403,8899  )  ",http://localhost:18080/,403,True,blocked,True,23,22.228,1,,942100|942151|949110,178457058271.210644,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058271.210644
22,793,GET,"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'cgbf' like 'cgbf",http://localhost:18080/?payload=1%27+and+6055++%3D++ctxsys.drithsx.sn++%28++6055%2C++%28++chr++%28++113++%29++%7C%7Cchr++%28++113++%29++%7C%7Cchr++%28++112++%29++%7C%7Cchr++%28++106++%29++%7C%7Cchr++%28++113++%29++%7C%7C++%28++select+++%28++case+when+++%28++6055++%3D++6055++%29+++then+1+else+0+end++%29+++from+dual++%29++%7C%7Cchr++%28++113++%29++%7C%7Cchr++%28++122++%29++%7C%7Cchr++%28++118++%29++%7C%7Cchr++%28++122++%29++%7C%7Cchr++%28++113+++%29++++%29+++++%29+++and+%27cgbf%27+like+%27cgbf,403,True,blocked,True,496,18.17,1,,933160|942100|942230|949110,178457058262.610959,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058262.610959
23,793,POST,"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and 'cgbf' like 'cgbf",http://localhost:18080/,403,True,blocked,True,23,17.648,1,,933160|942100|942230|949110,178457058229.325487,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058229.325487
24,4577,GET,"1'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",http://localhost:18080/?payload=1%27++%29+++or+8514++%3D++benchmark++%28++5000000%2Cmd5++%28++0x544d5a4c+++%29++++%29+++%23,403,True,blocked,True,123,19.244,1,,933160|942100|942151|942160|949110,17845705822.757876,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180302-17845705822.757876
25,4577,POST,"1'  )   or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",http://localhost:18080/,403,True,blocked,True,23,14.215,1,,933160|942100|942151|942160|949110,178457058252.071077,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180302-178457058252.071077
26,4396,GET,select count  (  *  ,http://localhost:18080/?payload=select+count++%28++%2A++,200,False,bypass,True,56,11.869,1,,,178457058232.806719,[],transactions/20260720/20260720-1803/20260720-180302-178457058232.806719
27,4396,POST,select count  (  *  ,http://localhost:18080/,200,False,bypass,True,23,20.331,1,,,178457058227.241233,[],transactions/20260720/20260720-1803/20260720-180302-178457058227.241233
28,3109,GET,1 and user_name  (    )     =   'dbo',http://localhost:18080/?payload=1+and+user_name++%28++++%29+++++%3D+++%27dbo%27,403,True,blocked,True,79,10.908,1,,942100|949110,178457058258.692068,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058258.692068
29,3109,POST,1 and user_name  (    )     =   'dbo',http://localhost:18080/,403,True,blocked,True,23,8.744,1,,942100|949110,178457058276.189256,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058276.189256
30,1220,GET,"-1631%""  )   or elt  (  8285  =  1709,1709  )   and   (  ""%""  =  """,http://localhost:18080/?payload=-1631%25%22++%29+++or+elt++%28++8285++%3D++1709%2C1709++%29+++and+++%28++%22%25%22++%3D++%22,403,True,blocked,True,124,8.7,1,,942100|949110,178457058264.505357,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058264.505357
31,1220,POST,"-1631%""  )   or elt  (  8285  =  1709,1709  )   and   (  ""%""  =  """,http://localhost:18080/,403,True,blocked,True,23,8.852,1,,942100|949110,178457058291.514935,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058291.514935
32,1270,GET,"-1269"" union all select 8412,8412,8412,8412,8412,8412,8412,8412--",http://localhost:18080/?payload=-1269%22+union+all+select+8412%2C8412%2C8412%2C8412%2C8412%2C8412%2C8412%2C8412--,403,True,blocked,True,113,7.588,1,,942100|942190|942360|949110,178457058235.269911,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058235.269911
33,1270,POST,"-1269"" union all select 8412,8412,8412,8412,8412,8412,8412,8412--",http://localhost:18080/,403,True,blocked,True,23,6.734,1,,942100|942190|942360|949110,178457058234.817719,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058234.817719
34,462,GET,1   )    )    as syot where 1199  =  1199,http://localhost:18080/?payload=1+++%29++++%29++++as+syot+where+1199++%3D++1199,403,True,blocked,True,79,5.911,1,,942100|949110,178457058242.277593,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058242.277593
35,462,POST,1   )    )    as syot where 1199  =  1199,http://localhost:18080/,403,True,blocked,True,23,8.247,1,,942100|949110,178457058297.330162,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058297.330162
36,1293,GET,"1""   )    )    as isqj where 6344  =  6344 union all select null,null,null,null--",http://localhost:18080/?payload=1%22+++%29++++%29++++as+isqj+where+6344++%3D++6344+union+all+select+null%2Cnull%2Cnull%2Cnull--,403,True,blocked,True,127,9.77,1,,942100|942190|949110,178457058261.480345,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058261.480345
37,1293,POST,"1""   )    )    as isqj where 6344  =  6344 union all select null,null,null,null--",http://localhost:18080/,403,True,blocked,True,23,15.241,1,,942100|942190|949110,178457058251.657557,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058251.657557
38,6103,GET,"-5817' in boolean mode  )   union all select 2391,2391,2391,2391,2391--",http://localhost:18080/?payload=-5817%27+in+boolean+mode++%29+++union+all+select+2391%2C2391%2C2391%2C2391%2C2391--,403,True,blocked,True,115,9.78,1,,942100|942190|949110,178457058280.468092,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058280.468092
39,6103,POST,"-5817' in boolean mode  )   union all select 2391,2391,2391,2391,2391--",http://localhost:18080/,403,True,blocked,True,23,8.789,1,,942100|942190|949110,178457058277.084233,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058277.084233
40,2934,GET,"1""   )    )    as oiqr where 4073  =  4073 or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",http://localhost:18080/?payload=1%22+++%29++++%29++++as+oiqr+where+4073++%3D++4073+or+8156++%3D++++%28++select+count++%28++%2A++%29+++from+generate_series++%28++1%2C5000000+++%29++++%29+++--,403,True,blocked,True,190,16.255,1,,942100|949110,178457058253.876332,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058253.876332
41,2934,POST,"1""   )    )    as oiqr where 4073  =  4073 or 8156  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --",http://localhost:18080/,403,True,blocked,True,23,5.719,1,,942100|949110,178457058273.979998,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058273.979998
42,720,GET,"1%""   )    )     )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""%""  =  """,http://localhost:18080/?payload=1%25%22+++%29++++%29+++++%29+++and+exp++%28++~++%28++select+%2A+from+++%28++select+concat++%28++0x7171706a71%2C++%28++select+++%28++elt++%28++8190++%3D++8190%2C1+++%29++++%29+++++%29++%2C0x717a767a71%2C0x78+++%29++++%29+++x+++%29++++%29++++and++++%28++++%28+++++%28++%22%25%22++%3D++%22,403,True,blocked,True,318,5.835,1,,933160|942100|942151|949110,178457058222.401164,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058222.401164
43,720,POST,"1%""   )    )     )   and exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8190  =  8190,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""%""  =  """,http://localhost:18080/,403,True,blocked,True,23,5.948,1,,933160|942100|942151|949110,17845705825.506083,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-17845705825.506083
44,1780,GET,1  )   as ilqx where 8547  =  8547,http://localhost:18080/?payload=1++%29+++as+ilqx+where+8547++%3D++8547,403,True,blocked,True,70,12.548,1,,942100|949110,178457058245.447832,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058245.447832
45,1780,POST,1  )   as ilqx where 8547  =  8547,http://localhost:18080/,403,True,blocked,True,23,14.303,1,,942100|949110,178457058236.962906,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058236.962906
46,4636,GET,"-2790""   )    )    as vcvw where 6075  =  6075 or 7078  =  8148--",http://localhost:18080/?payload=-2790%22+++%29++++%29++++as+vcvw+where+6075++%3D++6075+or+7078++%3D++8148--,403,True,blocked,True,107,14.432,1,,942100|949110,178457058291.258139,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058291.258139
47,4636,POST,"-2790""   )    )    as vcvw where 6075  =  6075 or 7078  =  8148--",http://localhost:18080/,403,True,blocked,True,23,20.57,1,,942100|949110,178457058367.776201,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058367.776201
48,571,GET,"1'||  (  select 'fmss' from dual where 7025  =  7025 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )     )  ||'",http://localhost:18080/?payload=1%27%7C%7C++%28++select+%27fmss%27+from+dual+where+7025++%3D++7025+or+8421++%3D++++%28++select+count++%28++%2A++%29+++from+generate_series++%28++1%2C5000000+++%29++++%29+++++%29++%7C%7C%27,403,True,blocked,True,220,22.467,1,,942100|949110,178457058354.419941,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058354.419941
49,571,POST,"1'||  (  select 'fmss' from dual where 7025  =  7025 or 8421  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )     )  ||'",http://localhost:18080/,403,True,blocked,True,23,14.998,1,,942100|949110,17845705839.594219,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-17845705839.594219
50,5464,GET,"1'   )    )     )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (     (  'gfll'  =  'gfll",http://localhost:18080/?payload=1%27+++%29++++%29+++++%29+++procedure+analyse++%28++extractvalue++%28++5840%2Cconcat++%28++0x5c%2C0x7171706a71%2C++%28++select+++%28++case+when+++%28++5840++%3D++5840++%29+++then+1+else+0+end+++%29++++%29+++%2C0x717a767a71+++%29++++%29+++%2C1++%29+++and++++%28++++%28+++++%28++%27gfll%27++%3D++%27gfll,403,True,blocked,True,333,15.016,1,,942100|942151|942230|942320|949110,178457058359.656700,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects conditional SQL injection attempts"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180303-178457058359.656700
51,5464,POST,"1'   )    )     )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (     (  'gfll'  =  'gfll",http://localhost:18080/,403,True,blocked,True,23,11.815,1,,942100|942151|942230|942320|949110,178457058325.491582,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects conditional SQL injection attempts"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180303-178457058325.491582
