probe_index,source_row,transaction_id,http_status,rule_ids,messages,audit_file,audit_bytes,parse_error
13,2647,178457058258.996509,403,942100|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack Detected via libinjection"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058258.996509,4456,
36,1293,178457058261.480345,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058261.480345,3393,
22,793,178457058262.610959,403,933160|942100|942230|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058262.610959,5634,
30,1220,178457058264.505357,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058264.505357,2282,
8,1193,17845705827.323872,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-17845705827.323872,3366,
21,1338,178457058271.210644,403,942100|942151|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058271.210644,3203,
16,2088,178457058273.813182,403,933160|942100|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058273.813182,3646,
41,2934,178457058273.979998,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058273.979998,2336,
29,3109,178457058276.189256,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058276.189256,2238,
39,6103,178457058277.084233,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058277.084233,3347,
38,6103,178457058280.468092,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058280.468092,3348,
7,797,178457058282.868577,403,933160|942100|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058282.868577,3451,
15,2005,178457058283.544323,403,933160|942100|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058283.544323,3527,
2,3081,178457058285.763108,200,,[],transactions/20260720/20260720-1803/20260720-180302-178457058285.763108,1111,
14,2005,178457058290.510568,403,933160|942100|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058290.510568,3647,
46,4636,178457058291.258139,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058291.258139,2261,
31,1220,178457058291.514935,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058291.514935,2272,
5,41,178457058291.565914,403,933160|942100|942151|942160|942320|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 25)""]",transactions/20260720/20260720-1803/20260720-180302-178457058291.565914,7079,
11,3927,178457058295.997340,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180302-178457058295.997340,3135,
19,716,178457058296.200785,403,933160|942100|942151|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180302-178457058296.200785,4879,
35,462,178457058297.330162,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180302-178457058297.330162,2241,
302,4340,17845705830.151930,200,,[],transactions/20260720/20260720-1803/20260720-180303-17845705830.151930,996,
200,5850,17845705830.373774,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-17845705830.373774,3375,
321,2960,17845705830.635575,403,933160|942100|942230|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-17845705830.635575,5228,
309,256,17845705831.038317,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-17845705831.038317,3181,
256,1906,17845705831.064674,403,942100|942140|942151|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: Common DB Names Detected"", ""SQL Injection Attack: SQL function name detected"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180303-17845705831.064674,6681,
237,476,17845705831.078431,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-17845705831.078431,3163,
155,3640,17845705831.936558,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-17845705831.936558,3102,
282,2139,178457058310.278401,403,942100|942230|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058310.278401,3566,
142,785,178457058310.385960,403,942100|942151|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058310.385960,3762,
191,3612,178457058310.693238,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058310.693238,3159,
293,2797,178457058311.078556,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058311.078556,3091,
300,6179,178457058311.345214,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058311.345214,3478,
68,333,178457058312.058988,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058312.058988,4257,
288,511,178457058312.096476,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058312.096476,2271,
75,5354,178457058312.166077,403,942100|942140|942190|942230|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: Common DB Names Detected"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180303-178457058312.166077,5818,
220,5001,178457058312.477812,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058312.477812,3318,
242,454,178457058312.630492,403,942100|942140|942230|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: Common DB Names Detected"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058312.630492,4598,
170,4011,178457058313.332723,200,,[],transactions/20260720/20260720-1803/20260720-180303-178457058313.332723,1001,
209,2246,178457058313.376458,403,933160|942100|942230|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058313.376458,5195,
162,5327,178457058313.566755,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058313.566755,3340,
114,2970,178457058313.574201,200,,[],transactions/20260720/20260720-1803/20260720-180303-178457058313.574201,1138,
206,1934,178457058313.728822,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058313.728822,4251,
260,1573,178457058314.254756,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058314.254756,2580,
196,569,178457058314.942102,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058314.942102,4292,
287,3944,178457058316.045166,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058316.045166,2227,
134,4654,178457058316.134761,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058316.134761,2213,
291,3426,178457058316.489344,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058316.489344,2276,
71,4126,178457058316.528720,200,,[],transactions/20260720/20260720-1803/20260720-180303-178457058316.528720,1054,
277,3938,178457058317.318026,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058317.318026,2294,
204,2628,178457058317.393687,403,942100|942151|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058317.393687,3467,
169,5692,178457058317.522518,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058317.522518,2253,
251,2594,178457058317.538089,403,933160|942100|942230|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058317.538089,5193,
276,3938,178457058318.331898,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058318.331898,2321,
238,2174,178457058318.792297,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058318.792297,2158,
296,4145,178457058319.632881,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058319.632881,4086,
199,1575,178457058319.717406,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058319.717406,2218,
314,5396,17845705832.124080,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-17845705832.124080,4435,
166,4820,17845705832.261617,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-17845705832.261617,2395,
163,5327,17845705832.861120,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-17845705832.861120,3339,
226,4563,17845705832.970903,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-17845705832.970903,4327,
148,1929,178457058320.605880,403,942140|942190|942230|949110,"[""SQL Injection Attack: Common DB Names Detected"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058320.605880,5921,
248,2942,178457058320.791116,403,942100|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058320.791116,3142,
53,4000,178457058321.196815,200,,[],transactions/20260720/20260720-1803/20260720-180303-178457058321.196815,1054,
95,1186,178457058321.591131,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058321.591131,3378,
215,3087,178457058321.688626,403,933160|942100|942230|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058321.688626,5184,
153,4146,178457058322.114606,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058322.114606,2222,
64,3754,178457058322.125300,403,942100|942151|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058322.125300,3374,
301,6179,178457058322.600370,403,942100|942190|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058322.600370,3441,
160,2895,178457058322.676464,403,942100|942151|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058322.676464,3295,
111,527,178457058322.905340,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058322.905340,2323,
271,1921,178457058323.677085,403,942100|942151|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Inbound Anomaly Score Exceeded (Total Score: 10)""]",transactions/20260720/20260720-1803/20260720-180303-178457058323.677085,3298,
52,4000,178457058324.280936,200,,[],transactions/20260720/20260720-1803/20260720-180303-178457058324.280936,998,
207,1934,178457058324.686162,403,942100|942190|942360|949110,"[""SQL Injection Attack Detected via libinjection"", ""Detects MSSQL code execution and information gathering attempts"", ""Detects concatenated basic SQL injection and SQLLFI attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058324.686162,4281,
117,5407,178457058324.869604,403,942100|942151|942160|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects blind sqli tests using sleep() or benchmark()"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058324.869604,4199,
157,3675,178457058325.293212,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058325.293212,2244,
51,5464,178457058325.491582,403,942100|942151|942230|942320|949110,"[""SQL Injection Attack Detected via libinjection"", ""SQL Injection Attack: SQL function name detected"", ""Detects conditional SQL injection attempts"", ""Detects MySQL and PostgreSQL stored procedure/function injections"", ""Inbound Anomaly Score Exceeded (Total Score: 20)""]",transactions/20260720/20260720-1803/20260720-180303-178457058325.491582,6232,
211,1269,178457058325.901815,403,942100|949110,"[""SQL Injection Attack Detected via libinjection"", ""Inbound Anomaly Score Exceeded (Total Score: 5)""]",transactions/20260720/20260720-1803/20260720-180303-178457058325.901815,2238,
92,4156,178457058327.207066,200,,[],transactions/20260720/20260720-1803/20260720-180303-178457058327.207066,996,
113,2832,178457058327.450612,403,933160|942100|942230|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058327.450612,5256,
195,2384,178457058327.658391,403,933160|942100|942230|949110,"[""PHP Injection Attack: High-Risk PHP Function Call Found"", ""SQL Injection Attack Detected via libinjection"", ""Detects conditional SQL injection attempts"", ""Inbound Anomaly Score Exceeded (Total Score: 15)""]",transactions/20260720/20260720-1803/20260720-180303-178457058327.658391,5249,
