phase,run_id,method,family,scenario,ratio,return_code,started_at,ended_at,elapsed_seconds,shard_matrix,scheduler_log,scheduler_result_source
phase2a,phase2a__gan__error__E__R50,gan,error,E,50,0,2026-07-14T01:36:30.621110+00:00,2026-07-14T01:41:37.885640+00:00,307.265,/content/parallel_shards_cpu20/phase2a/shard_0034.csv,/content/parallel_shards_cpu20/phase2a/shard_0034_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__error__F__R50,gan,error,F,50,0,2026-07-14T01:36:33.887062+00:00,2026-07-14T01:41:31.392738+00:00,297.506,/content/parallel_shards_cpu20/phase2a/shard_0035.csv,/content/parallel_shards_cpu20/phase2a/shard_0035_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__time__A__R50,gan,time,A,50,0,2026-07-14T01:36:33.946510+00:00,2026-07-14T01:41:27.351755+00:00,293.405,/content/parallel_shards_cpu20/phase2a/shard_0036.csv,/content/parallel_shards_cpu20/phase2a/shard_0036_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__time__B__R50,gan,time,B,50,0,2026-07-14T01:36:34.604363+00:00,2026-07-14T01:41:19.480871+00:00,284.877,/content/parallel_shards_cpu20/phase2a/shard_0037.csv,/content/parallel_shards_cpu20/phase2a/shard_0037_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__time__C__R50,gan,time,C,50,0,2026-07-14T01:36:34.850173+00:00,2026-07-14T01:41:26.059036+00:00,291.209,/content/parallel_shards_cpu20/phase2a/shard_0038.csv,/content/parallel_shards_cpu20/phase2a/shard_0038_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__time__D__R50,gan,time,D,50,0,2026-07-14T01:36:36.886134+00:00,2026-07-14T01:41:25.685736+00:00,288.8,/content/parallel_shards_cpu20/phase2a/shard_0039.csv,/content/parallel_shards_cpu20/phase2a/shard_0039_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__time__E__R50,gan,time,E,50,0,2026-07-14T01:41:02.748382+00:00,2026-07-14T01:46:03.968923+00:00,301.221,/content/parallel_shards_cpu20/phase2a/shard_0040.csv,/content/parallel_shards_cpu20/phase2a/shard_0040_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__time__F__R50,gan,time,F,50,0,2026-07-14T01:41:07.759615+00:00,2026-07-14T01:46:08.654702+00:00,300.895,/content/parallel_shards_cpu20/phase2a/shard_0041.csv,/content/parallel_shards_cpu20/phase2a/shard_0041_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__union__A__R50,gan,union,A,50,0,2026-07-14T01:41:08.546370+00:00,2026-07-14T01:46:12.128320+00:00,303.582,/content/parallel_shards_cpu20/phase2a/shard_0042.csv,/content/parallel_shards_cpu20/phase2a/shard_0042_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__union__B__R50,gan,union,B,50,0,2026-07-14T01:41:13.715331+00:00,2026-07-14T01:46:06.453778+00:00,292.738,/content/parallel_shards_cpu20/phase2a/shard_0043.csv,/content/parallel_shards_cpu20/phase2a/shard_0043_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__union__C__R50,gan,union,C,50,0,2026-07-14T01:41:18.581046+00:00,2026-07-14T01:46:11.837785+00:00,293.257,/content/parallel_shards_cpu20/phase2a/shard_0044.csv,/content/parallel_shards_cpu20/phase2a/shard_0044_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__union__D__R50,gan,union,D,50,0,2026-07-14T01:41:19.139366+00:00,2026-07-14T01:46:18.244452+00:00,299.105,/content/parallel_shards_cpu20/phase2a/shard_0045.csv,/content/parallel_shards_cpu20/phase2a/shard_0045_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__union__E__R50,gan,union,E,50,0,2026-07-14T01:41:19.481493+00:00,2026-07-14T01:46:19.540023+00:00,300.059,/content/parallel_shards_cpu20/phase2a/shard_0046.csv,/content/parallel_shards_cpu20/phase2a/shard_0046_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__gan__union__F__R50,gan,union,F,50,0,2026-07-14T01:41:25.686401+00:00,2026-07-14T01:46:26.649706+00:00,300.963,/content/parallel_shards_cpu20/phase2a/shard_0047.csv,/content/parallel_shards_cpu20/phase2a/shard_0047_gan.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__boolean__A__R50,smote,boolean,A,50,0,2026-07-14T01:41:26.059694+00:00,2026-07-14T01:45:02.072696+00:00,216.013,/content/parallel_shards_cpu20/phase2a/shard_0048.csv,/content/parallel_shards_cpu20/phase2a/shard_0048_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__boolean__B__R50,smote,boolean,B,50,0,2026-07-14T01:41:27.352640+00:00,2026-07-14T01:44:46.554782+00:00,199.202,/content/parallel_shards_cpu20/phase2a/shard_0049.csv,/content/parallel_shards_cpu20/phase2a/shard_0049_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__boolean__C__R50,smote,boolean,C,50,0,2026-07-14T01:41:28.161792+00:00,2026-07-14T01:45:05.684187+00:00,217.522,/content/parallel_shards_cpu20/phase2a/shard_0050.csv,/content/parallel_shards_cpu20/phase2a/shard_0050_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__boolean__D__R50,smote,boolean,D,50,0,2026-07-14T01:41:28.214855+00:00,2026-07-14T01:45:00.997756+00:00,212.783,/content/parallel_shards_cpu20/phase2a/shard_0051.csv,/content/parallel_shards_cpu20/phase2a/shard_0051_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__boolean__E__R50,smote,boolean,E,50,0,2026-07-14T01:41:31.393371+00:00,2026-07-14T01:45:05.598998+00:00,214.206,/content/parallel_shards_cpu20/phase2a/shard_0052.csv,/content/parallel_shards_cpu20/phase2a/shard_0052_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__boolean__F__R50,smote,boolean,F,50,0,2026-07-14T01:41:35.965346+00:00,2026-07-14T01:45:05.213743+00:00,209.248,/content/parallel_shards_cpu20/phase2a/shard_0053.csv,/content/parallel_shards_cpu20/phase2a/shard_0053_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__error__A__R50,smote,error,A,50,0,2026-07-14T01:41:37.886361+00:00,2026-07-14T01:45:18.655298+00:00,220.769,/content/parallel_shards_cpu20/phase2a/shard_0054.csv,/content/parallel_shards_cpu20/phase2a/shard_0054_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__error__B__R50,smote,error,B,50,0,2026-07-14T01:41:42.582320+00:00,2026-07-14T01:45:15.330988+00:00,212.749,/content/parallel_shards_cpu20/phase2a/shard_0055.csv,/content/parallel_shards_cpu20/phase2a/shard_0055_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__error__C__R50,smote,error,C,50,0,2026-07-14T01:44:46.555563+00:00,2026-07-14T01:47:47.338733+00:00,180.783,/content/parallel_shards_cpu20/phase2a/shard_0056.csv,/content/parallel_shards_cpu20/phase2a/shard_0056_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__error__D__R50,smote,error,D,50,0,2026-07-14T01:45:00.998469+00:00,2026-07-14T01:48:02.024055+00:00,181.026,/content/parallel_shards_cpu20/phase2a/shard_0057.csv,/content/parallel_shards_cpu20/phase2a/shard_0057_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__error__E__R50,smote,error,E,50,0,2026-07-14T01:45:02.073341+00:00,2026-07-14T01:48:01.493755+00:00,179.42,/content/parallel_shards_cpu20/phase2a/shard_0058.csv,/content/parallel_shards_cpu20/phase2a/shard_0058_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__error__F__R50,smote,error,F,50,0,2026-07-14T01:45:05.214365+00:00,2026-07-14T01:48:02.626577+00:00,177.412,/content/parallel_shards_cpu20/phase2a/shard_0059.csv,/content/parallel_shards_cpu20/phase2a/shard_0059_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__time__A__R50,smote,time,A,50,0,2026-07-14T01:45:05.599640+00:00,2026-07-14T01:47:54.533525+00:00,168.934,/content/parallel_shards_cpu20/phase2a/shard_0060.csv,/content/parallel_shards_cpu20/phase2a/shard_0060_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__time__B__R50,smote,time,B,50,0,2026-07-14T01:45:05.684848+00:00,2026-07-14T01:47:56.102502+00:00,170.42,/content/parallel_shards_cpu20/phase2a/shard_0061.csv,/content/parallel_shards_cpu20/phase2a/shard_0061_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__time__C__R50,smote,time,C,50,0,2026-07-14T01:45:15.331691+00:00,2026-07-14T01:47:59.611780+00:00,164.28,/content/parallel_shards_cpu20/phase2a/shard_0062.csv,/content/parallel_shards_cpu20/phase2a/shard_0062_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__time__D__R50,smote,time,D,50,0,2026-07-14T01:45:18.655969+00:00,2026-07-14T01:48:00.602845+00:00,161.947,/content/parallel_shards_cpu20/phase2a/shard_0063.csv,/content/parallel_shards_cpu20/phase2a/shard_0063_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__time__E__R50,smote,time,E,50,0,2026-07-14T01:45:20.791515+00:00,2026-07-14T01:48:02.844129+00:00,162.053,/content/parallel_shards_cpu20/phase2a/shard_0064.csv,/content/parallel_shards_cpu20/phase2a/shard_0064_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__time__F__R50,smote,time,F,50,0,2026-07-14T01:45:22.902647+00:00,2026-07-14T01:48:03.284317+00:00,160.382,/content/parallel_shards_cpu20/phase2a/shard_0065.csv,/content/parallel_shards_cpu20/phase2a/shard_0065_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__union__A__R50,smote,union,A,50,0,2026-07-14T01:45:28.644285+00:00,2026-07-14T01:48:06.181876+00:00,157.538,/content/parallel_shards_cpu20/phase2a/shard_0066.csv,/content/parallel_shards_cpu20/phase2a/shard_0066_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__union__B__R50,smote,union,B,50,0,2026-07-14T01:45:30.521323+00:00,2026-07-14T01:48:06.700937+00:00,156.18,/content/parallel_shards_cpu20/phase2a/shard_0067.csv,/content/parallel_shards_cpu20/phase2a/shard_0067_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__union__C__R50,smote,union,C,50,0,2026-07-14T01:46:03.969694+00:00,2026-07-14T01:48:13.987223+00:00,130.018,/content/parallel_shards_cpu20/phase2a/shard_0068.csv,/content/parallel_shards_cpu20/phase2a/shard_0068_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__union__D__R50,smote,union,D,50,0,2026-07-14T01:46:06.454474+00:00,2026-07-14T01:48:13.766701+00:00,127.312,/content/parallel_shards_cpu20/phase2a/shard_0069.csv,/content/parallel_shards_cpu20/phase2a/shard_0069_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__union__E__R50,smote,union,E,50,0,2026-07-14T01:46:08.655281+00:00,2026-07-14T01:48:14.675578+00:00,126.02,/content/parallel_shards_cpu20/phase2a/shard_0070.csv,/content/parallel_shards_cpu20/phase2a/shard_0070_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
phase2a,phase2a__smote__union__F__R50,smote,union,F,50,0,2026-07-14T01:46:11.838421+00:00,2026-07-14T01:48:14.687326+00:00,122.849,/content/parallel_shards_cpu20/phase2a/shard_0071.csv,/content/parallel_shards_cpu20/phase2a/shard_0071_smote.log,_scheduler_audit/phase2a/scheduler_results.csv
